validation: epoch: 0, nrg_mae: 0.8859232068061829 meV/atom, force_mae: 9.556819915771484 meV/AA, max fae: 338.5491027832031 meV/AA 
validation: epoch: 10, nrg_mae: 0.6084933876991272 meV/atom, force_mae: 5.416596412658691 meV/AA, max fae: 202.3267822265625 meV/AA 
validation: epoch: 20, nrg_mae: 0.46707838773727417 meV/atom, force_mae: 4.2739644050598145 meV/AA, max fae: 176.38311767578125 meV/AA 
validation: epoch: 30, nrg_mae: 0.3222152590751648 meV/atom, force_mae: 3.930128574371338 meV/AA, max fae: 136.30967712402344 meV/AA 
validation: epoch: 40, nrg_mae: 0.20388513803482056 meV/atom, force_mae: 3.792558193206787 meV/AA, max fae: 98.91703796386719 meV/AA 
validation: epoch: 50, nrg_mae: 0.15690624713897705 meV/atom, force_mae: 3.5999557971954346 meV/AA, max fae: 93.2523422241211 meV/AA 
validation: epoch: 60, nrg_mae: 0.14581084251403809 meV/atom, force_mae: 3.549729824066162 meV/AA, max fae: 83.21918487548828 meV/AA 
validation: epoch: 70, nrg_mae: 0.1551598310470581 meV/atom, force_mae: 3.7015585899353027 meV/AA, max fae: 86.41827392578125 meV/AA 
validation: epoch: 80, nrg_mae: 0.14333575963974 meV/atom, force_mae: 3.675401210784912 meV/AA, max fae: 85.4426040649414 meV/AA 
validation: epoch: 90, nrg_mae: 0.13273805379867554 meV/atom, force_mae: 3.4956912994384766 meV/AA, max fae: 85.90325927734375 meV/AA 
validation: epoch: 100, nrg_mae: 0.12982189655303955 meV/atom, force_mae: 3.4129974842071533 meV/AA, max fae: 83.87027740478516 meV/AA 
validation: epoch: 110, nrg_mae: 0.13931244611740112 meV/atom, force_mae: 3.456172227859497 meV/AA, max fae: 83.15165710449219 meV/AA 
validation: epoch: 120, nrg_mae: 0.129641592502594 meV/atom, force_mae: 3.6108412742614746 meV/AA, max fae: 75.29485321044922 meV/AA 
validation: epoch: 130, nrg_mae: 0.12524276971817017 meV/atom, force_mae: 3.5380396842956543 meV/AA, max fae: 75.21154022216797 meV/AA 
validation: epoch: 140, nrg_mae: 0.11828839778900146 meV/atom, force_mae: 3.5311570167541504 meV/AA, max fae: 78.40775299072266 meV/AA 
validation: epoch: 150, nrg_mae: 0.10783374309539795 meV/atom, force_mae: 3.584857702255249 meV/AA, max fae: 75.82147216796875 meV/AA 
validation: epoch: 160, nrg_mae: 0.11159926652908325 meV/atom, force_mae: 3.5682051181793213 meV/AA, max fae: 82.69783782958984 meV/AA 
validation: epoch: 170, nrg_mae: 0.09945929050445557 meV/atom, force_mae: 3.560272693634033 meV/AA, max fae: 83.15927124023438 meV/AA 
validation: epoch: 180, nrg_mae: 0.0947713851928711 meV/atom, force_mae: 3.5865390300750732 meV/AA, max fae: 82.55770874023438 meV/AA 
validation: epoch: 190, nrg_mae: 0.09129196405410767 meV/atom, force_mae: 3.600036382675171 meV/AA, max fae: 81.87818908691406 meV/AA 
validation: epoch: 200, nrg_mae: 0.09754449129104614 meV/atom, force_mae: 3.5451502799987793 meV/AA, max fae: 78.2716293334961 meV/AA 
validation: epoch: 210, nrg_mae: 0.09004324674606323 meV/atom, force_mae: 3.5699334144592285 meV/AA, max fae: 80.82112884521484 meV/AA 
validation: epoch: 220, nrg_mae: 0.09308606386184692 meV/atom, force_mae: 3.568199634552002 meV/AA, max fae: 78.91434478759766 meV/AA 
validation: epoch: 230, nrg_mae: 0.09978413581848145 meV/atom, force_mae: 3.5159645080566406 meV/AA, max fae: 75.28372192382812 meV/AA 
validation: epoch: 240, nrg_mae: 0.0910446047782898 meV/atom, force_mae: 3.4174835681915283 meV/AA, max fae: 70.34432983398438 meV/AA 
validation: epoch: 250, nrg_mae: 0.0886961817741394 meV/atom, force_mae: 3.3759403228759766 meV/AA, max fae: 69.30831146240234 meV/AA 
validation: epoch: 260, nrg_mae: 0.07899999618530273 meV/atom, force_mae: 3.3913207054138184 meV/AA, max fae: 64.72232818603516 meV/AA 
validation: epoch: 270, nrg_mae: 0.08296668529510498 meV/atom, force_mae: 3.3797926902770996 meV/AA, max fae: 64.79627227783203 meV/AA 
validation: epoch: 280, nrg_mae: 0.08199810981750488 meV/atom, force_mae: 3.3574917316436768 meV/AA, max fae: 64.4643325805664 meV/AA 
validation: epoch: 290, nrg_mae: 0.08249878883361816 meV/atom, force_mae: 3.360121726989746 meV/AA, max fae: 64.72061920166016 meV/AA 
