validation: epoch: 0, nrg_mae: 2.8575704097747803 meV/atom, force_mae: 18.256282806396484 meV/AA, max fae: 245.84173583984375 meV/AA 
validation: epoch: 10, nrg_mae: 0.6087616086006165 meV/atom, force_mae: 5.329983234405518 meV/AA, max fae: 206.0819854736328 meV/AA 
validation: epoch: 20, nrg_mae: 0.43995529413223267 meV/atom, force_mae: 4.405311107635498 meV/AA, max fae: 172.52069091796875 meV/AA 
validation: epoch: 30, nrg_mae: 0.2580910921096802 meV/atom, force_mae: 4.481297492980957 meV/AA, max fae: 114.1578140258789 meV/AA 
validation: epoch: 40, nrg_mae: 0.23598968982696533 meV/atom, force_mae: 4.173781394958496 meV/AA, max fae: 107.54823303222656 meV/AA 
validation: epoch: 50, nrg_mae: 0.18855035305023193 meV/atom, force_mae: 3.995964765548706 meV/AA, max fae: 99.8984603881836 meV/AA 
validation: epoch: 60, nrg_mae: 0.17382055521011353 meV/atom, force_mae: 3.948330879211426 meV/AA, max fae: 99.67003631591797 meV/AA 
validation: epoch: 70, nrg_mae: 0.18134266138076782 meV/atom, force_mae: 3.6842610836029053 meV/AA, max fae: 102.74514770507812 meV/AA 
validation: epoch: 80, nrg_mae: 0.13274401426315308 meV/atom, force_mae: 3.714369297027588 meV/AA, max fae: 93.84742736816406 meV/AA 
validation: epoch: 90, nrg_mae: 0.13538897037506104 meV/atom, force_mae: 3.78131103515625 meV/AA, max fae: 92.40095520019531 meV/AA 
validation: epoch: 100, nrg_mae: 0.10329335927963257 meV/atom, force_mae: 3.709857702255249 meV/AA, max fae: 83.6568603515625 meV/AA 
validation: epoch: 110, nrg_mae: 0.11469125747680664 meV/atom, force_mae: 3.5264523029327393 meV/AA, max fae: 83.88091278076172 meV/AA 
validation: epoch: 120, nrg_mae: 0.10565817356109619 meV/atom, force_mae: 3.529320478439331 meV/AA, max fae: 80.40889739990234 meV/AA 
validation: epoch: 130, nrg_mae: 0.11342614889144897 meV/atom, force_mae: 3.5423672199249268 meV/AA, max fae: 79.27339935302734 meV/AA 
validation: epoch: 140, nrg_mae: 0.1032218337059021 meV/atom, force_mae: 3.555691719055176 meV/AA, max fae: 77.57671356201172 meV/AA 
validation: epoch: 150, nrg_mae: 0.09666383266448975 meV/atom, force_mae: 3.5455403327941895 meV/AA, max fae: 72.46397399902344 meV/AA 
validation: epoch: 160, nrg_mae: 0.10694712400436401 meV/atom, force_mae: 3.446676015853882 meV/AA, max fae: 80.65050506591797 meV/AA 
validation: epoch: 170, nrg_mae: 0.09504109621047974 meV/atom, force_mae: 3.4036030769348145 meV/AA, max fae: 82.95578002929688 meV/AA 
validation: epoch: 180, nrg_mae: 0.10109692811965942 meV/atom, force_mae: 3.395883321762085 meV/AA, max fae: 78.85448455810547 meV/AA 
validation: epoch: 190, nrg_mae: 0.10264813899993896 meV/atom, force_mae: 3.3677334785461426 meV/AA, max fae: 75.3042984008789 meV/AA 
validation: epoch: 200, nrg_mae: 0.10331124067306519 meV/atom, force_mae: 3.3572397232055664 meV/AA, max fae: 77.51061248779297 meV/AA 
validation: epoch: 210, nrg_mae: 0.10121464729309082 meV/atom, force_mae: 3.3670449256896973 meV/AA, max fae: 78.69015502929688 meV/AA 
validation: epoch: 220, nrg_mae: 0.09373575448989868 meV/atom, force_mae: 3.378715991973877 meV/AA, max fae: 80.16361236572266 meV/AA 
validation: epoch: 230, nrg_mae: 0.07777959108352661 meV/atom, force_mae: 3.360517978668213 meV/AA, max fae: 77.20187377929688 meV/AA 
validation: epoch: 240, nrg_mae: 0.07102489471435547 meV/atom, force_mae: 3.3956611156463623 meV/AA, max fae: 71.36812591552734 meV/AA 
validation: epoch: 250, nrg_mae: 0.07048994302749634 meV/atom, force_mae: 3.3176305294036865 meV/AA, max fae: 73.67157745361328 meV/AA 
validation: epoch: 260, nrg_mae: 0.06876140832901001 meV/atom, force_mae: 3.315528631210327 meV/AA, max fae: 74.53435516357422 meV/AA 
validation: epoch: 270, nrg_mae: 0.06312131881713867 meV/atom, force_mae: 3.2752490043640137 meV/AA, max fae: 72.28057098388672 meV/AA 
validation: epoch: 280, nrg_mae: 0.05837827920913696 meV/atom, force_mae: 3.26936411857605 meV/AA, max fae: 75.58439636230469 meV/AA 
validation: epoch: 290, nrg_mae: 0.05736798048019409 meV/atom, force_mae: 3.26525616645813 meV/AA, max fae: 75.07258605957031 meV/AA 
