validation: epoch: 0, nrg_mae: 0.8502215147018433 meV/atom, force_mae: 8.948238372802734 meV/AA, max fae: 245.81710815429688 meV/AA 
validation: epoch: 10, nrg_mae: 0.6075114011764526 meV/atom, force_mae: 5.618914604187012 meV/AA, max fae: 202.1017608642578 meV/AA 
validation: epoch: 20, nrg_mae: 0.46761035919189453 meV/atom, force_mae: 4.877030372619629 meV/AA, max fae: 182.19102478027344 meV/AA 
validation: epoch: 30, nrg_mae: 0.34901946783065796 meV/atom, force_mae: 4.363949775695801 meV/AA, max fae: 151.4530487060547 meV/AA 
validation: epoch: 40, nrg_mae: 0.2666458487510681 meV/atom, force_mae: 3.8362860679626465 meV/AA, max fae: 126.94390106201172 meV/AA 
validation: epoch: 50, nrg_mae: 0.22026002407073975 meV/atom, force_mae: 3.9232349395751953 meV/AA, max fae: 109.457763671875 meV/AA 
validation: epoch: 60, nrg_mae: 0.2045169472694397 meV/atom, force_mae: 3.830244779586792 meV/AA, max fae: 99.73263549804688 meV/AA 
validation: epoch: 70, nrg_mae: 0.184650719165802 meV/atom, force_mae: 3.716989517211914 meV/AA, max fae: 98.91444396972656 meV/AA 
validation: epoch: 80, nrg_mae: 0.1730114221572876 meV/atom, force_mae: 3.754408836364746 meV/AA, max fae: 102.58377838134766 meV/AA 
validation: epoch: 90, nrg_mae: 0.125238299369812 meV/atom, force_mae: 3.6381137371063232 meV/AA, max fae: 96.90489196777344 meV/AA 
validation: epoch: 100, nrg_mae: 0.15413761138916016 meV/atom, force_mae: 3.535792112350464 meV/AA, max fae: 99.3248062133789 meV/AA 
validation: epoch: 110, nrg_mae: 0.11759847402572632 meV/atom, force_mae: 3.477414846420288 meV/AA, max fae: 91.21633911132812 meV/AA 
validation: epoch: 120, nrg_mae: 0.13115108013153076 meV/atom, force_mae: 3.5632855892181396 meV/AA, max fae: 92.32373809814453 meV/AA 
validation: epoch: 130, nrg_mae: 0.12319386750459671 meV/atom, force_mae: 3.450408458709717 meV/AA, max fae: 92.03659057617188 meV/AA 
validation: epoch: 140, nrg_mae: 0.1242622658610344 meV/atom, force_mae: 3.532245635986328 meV/AA, max fae: 91.57978057861328 meV/AA 
validation: epoch: 150, nrg_mae: 0.07853507995605469 meV/atom, force_mae: 3.5671374797821045 meV/AA, max fae: 78.7353515625 meV/AA 
validation: epoch: 160, nrg_mae: 0.09925961494445801 meV/atom, force_mae: 3.5387485027313232 meV/AA, max fae: 77.95913696289062 meV/AA 
validation: epoch: 170, nrg_mae: 0.10477006435394287 meV/atom, force_mae: 3.485135555267334 meV/AA, max fae: 79.64204406738281 meV/AA 
validation: epoch: 180, nrg_mae: 0.09780228137969971 meV/atom, force_mae: 3.470029830932617 meV/AA, max fae: 81.34949493408203 meV/AA 
validation: epoch: 190, nrg_mae: 0.09156167507171631 meV/atom, force_mae: 3.4739701747894287 meV/AA, max fae: 80.60066223144531 meV/AA 
validation: epoch: 200, nrg_mae: 0.09047836065292358 meV/atom, force_mae: 3.519841194152832 meV/AA, max fae: 82.74120330810547 meV/AA 
validation: epoch: 210, nrg_mae: 0.08938759565353394 meV/atom, force_mae: 3.47043514251709 meV/AA, max fae: 77.87854766845703 meV/AA 
validation: epoch: 220, nrg_mae: 0.09418278932571411 meV/atom, force_mae: 3.440446138381958 meV/AA, max fae: 80.60863494873047 meV/AA 
validation: epoch: 230, nrg_mae: 0.08777827024459839 meV/atom, force_mae: 3.4647576808929443 meV/AA, max fae: 79.68793487548828 meV/AA 
validation: epoch: 240, nrg_mae: 0.09381026029586792 meV/atom, force_mae: 3.407404899597168 meV/AA, max fae: 74.49994659423828 meV/AA 
validation: epoch: 250, nrg_mae: 0.08351802825927734 meV/atom, force_mae: 3.3784899711608887 meV/AA, max fae: 79.0954818725586 meV/AA 
validation: epoch: 260, nrg_mae: 0.08235126733779907 meV/atom, force_mae: 3.313227891921997 meV/AA, max fae: 79.1579818725586 meV/AA 
validation: epoch: 270, nrg_mae: 0.081692636013031 meV/atom, force_mae: 3.3347361087799072 meV/AA, max fae: 77.93368530273438 meV/AA 
validation: epoch: 280, nrg_mae: 0.07350444793701172 meV/atom, force_mae: 3.3831241130828857 meV/AA, max fae: 71.776123046875 meV/AA 
validation: epoch: 290, nrg_mae: 0.07364004850387573 meV/atom, force_mae: 3.391826868057251 meV/AA, max fae: 71.10489654541016 meV/AA 
