validation: epoch: 0, nrg_mae: 3.763421058654785 meV/atom, force_mae: 14.804032325744629 meV/AA, max fae: 372.8828430175781 meV/AA 
validation: epoch: 10, nrg_mae: 0.6222739815711975 meV/atom, force_mae: 5.473942756652832 meV/AA, max fae: 214.33505249023438 meV/AA 
validation: epoch: 20, nrg_mae: 0.4540741443634033 meV/atom, force_mae: 4.7128586769104 meV/AA, max fae: 182.28114318847656 meV/AA 
validation: epoch: 30, nrg_mae: 0.4093572497367859 meV/atom, force_mae: 4.382146835327148 meV/AA, max fae: 156.4976348876953 meV/AA 
validation: epoch: 40, nrg_mae: 0.2434253692626953 meV/atom, force_mae: 4.11331033706665 meV/AA, max fae: 118.8266372680664 meV/AA 
validation: epoch: 50, nrg_mae: 0.2398461103439331 meV/atom, force_mae: 3.775048017501831 meV/AA, max fae: 111.62055969238281 meV/AA 
validation: epoch: 60, nrg_mae: 0.1946762204170227 meV/atom, force_mae: 3.9208872318267822 meV/AA, max fae: 100.01349639892578 meV/AA 
validation: epoch: 70, nrg_mae: 0.17773360013961792 meV/atom, force_mae: 3.95902943611145 meV/AA, max fae: 95.27703857421875 meV/AA 
validation: epoch: 80, nrg_mae: 0.14318972826004028 meV/atom, force_mae: 3.7558906078338623 meV/AA, max fae: 94.611328125 meV/AA 
validation: epoch: 90, nrg_mae: 0.13840198516845703 meV/atom, force_mae: 3.6581313610076904 meV/AA, max fae: 93.68219757080078 meV/AA 
validation: epoch: 100, nrg_mae: 0.14307349920272827 meV/atom, force_mae: 3.5070528984069824 meV/AA, max fae: 95.34343719482422 meV/AA 
validation: epoch: 110, nrg_mae: 0.13230443000793457 meV/atom, force_mae: 3.4986698627471924 meV/AA, max fae: 92.0102767944336 meV/AA 
validation: epoch: 120, nrg_mae: 0.1267939805984497 meV/atom, force_mae: 3.383171558380127 meV/AA, max fae: 85.83621978759766 meV/AA 
validation: epoch: 130, nrg_mae: 0.09259730577468872 meV/atom, force_mae: 3.458771228790283 meV/AA, max fae: 80.4814682006836 meV/AA 
validation: epoch: 140, nrg_mae: 0.08957982063293457 meV/atom, force_mae: 3.4584059715270996 meV/AA, max fae: 77.58545684814453 meV/AA 
validation: epoch: 150, nrg_mae: 0.09018480777740479 meV/atom, force_mae: 3.494800329208374 meV/AA, max fae: 78.98590087890625 meV/AA 
validation: epoch: 160, nrg_mae: 0.096912682056427 meV/atom, force_mae: 3.475771427154541 meV/AA, max fae: 78.8101577758789 meV/AA 
validation: epoch: 170, nrg_mae: 0.09731501340866089 meV/atom, force_mae: 3.5009605884552 meV/AA, max fae: 79.06258392333984 meV/AA 
validation: epoch: 180, nrg_mae: 0.08948147296905518 meV/atom, force_mae: 3.4278640747070312 meV/AA, max fae: 75.87104797363281 meV/AA 
validation: epoch: 190, nrg_mae: 0.09489059448242188 meV/atom, force_mae: 3.3386895656585693 meV/AA, max fae: 70.97972869873047 meV/AA 
validation: epoch: 200, nrg_mae: 0.10005384683609009 meV/atom, force_mae: 3.3097422122955322 meV/AA, max fae: 75.20736694335938 meV/AA 
validation: epoch: 210, nrg_mae: 0.09442120790481567 meV/atom, force_mae: 3.2797482013702393 meV/AA, max fae: 75.10095977783203 meV/AA 
validation: epoch: 220, nrg_mae: 0.08341670036315918 meV/atom, force_mae: 3.4248149394989014 meV/AA, max fae: 70.20421600341797 meV/AA 
validation: epoch: 230, nrg_mae: 0.07988512516021729 meV/atom, force_mae: 3.3847827911376953 meV/AA, max fae: 70.86070251464844 meV/AA 
validation: epoch: 240, nrg_mae: 0.08053779602050781 meV/atom, force_mae: 3.359062671661377 meV/AA, max fae: 72.39929962158203 meV/AA 
validation: epoch: 250, nrg_mae: 0.06926953792572021 meV/atom, force_mae: 3.4027838706970215 meV/AA, max fae: 68.3729476928711 meV/AA 
validation: epoch: 260, nrg_mae: 0.07689893245697021 meV/atom, force_mae: 3.34485125541687 meV/AA, max fae: 72.26370239257812 meV/AA 
validation: epoch: 270, nrg_mae: 0.07142126560211182 meV/atom, force_mae: 3.310602903366089 meV/AA, max fae: 72.63177490234375 meV/AA 
validation: epoch: 280, nrg_mae: 0.07085055112838745 meV/atom, force_mae: 3.29079008102417 meV/AA, max fae: 72.7219009399414 meV/AA 
validation: epoch: 290, nrg_mae: 0.07338225841522217 meV/atom, force_mae: 3.3077306747436523 meV/AA, max fae: 71.08743286132812 meV/AA 
