validation: epoch: 0, nrg_mae: 0.7573604583740234 meV/atom, force_mae: 8.351213455200195 meV/AA, max fae: 275.3377685546875 meV/AA 
validation: epoch: 10, nrg_mae: 0.6443575024604797 meV/atom, force_mae: 5.44455623626709 meV/AA, max fae: 214.0576171875 meV/AA 
validation: epoch: 20, nrg_mae: 0.3226861357688904 meV/atom, force_mae: 4.593282699584961 meV/AA, max fae: 143.6917266845703 meV/AA 
validation: epoch: 30, nrg_mae: 0.23615658283233643 meV/atom, force_mae: 3.924710750579834 meV/AA, max fae: 107.32026672363281 meV/AA 
validation: epoch: 40, nrg_mae: 0.1939326524734497 meV/atom, force_mae: 3.739689350128174 meV/AA, max fae: 101.3680419921875 meV/AA 
validation: epoch: 50, nrg_mae: 0.15639513731002808 meV/atom, force_mae: 3.7362778186798096 meV/AA, max fae: 88.13143920898438 meV/AA 
validation: epoch: 60, nrg_mae: 0.12720376253128052 meV/atom, force_mae: 3.6064929962158203 meV/AA, max fae: 83.99042510986328 meV/AA 
validation: epoch: 70, nrg_mae: 0.10694265365600586 meV/atom, force_mae: 3.757317543029785 meV/AA, max fae: 75.03868865966797 meV/AA 
validation: epoch: 80, nrg_mae: 0.13680458068847656 meV/atom, force_mae: 3.855830669403076 meV/AA, max fae: 86.4172592163086 meV/AA 
validation: epoch: 90, nrg_mae: 0.14218389987945557 meV/atom, force_mae: 3.7341086864471436 meV/AA, max fae: 89.04196166992188 meV/AA 
validation: epoch: 100, nrg_mae: 0.11925846338272095 meV/atom, force_mae: 3.683929920196533 meV/AA, max fae: 86.99864196777344 meV/AA 
validation: epoch: 110, nrg_mae: 0.11714845895767212 meV/atom, force_mae: 3.480430841445923 meV/AA, max fae: 92.43489837646484 meV/AA 
validation: epoch: 120, nrg_mae: 0.09950697422027588 meV/atom, force_mae: 3.552610397338867 meV/AA, max fae: 81.9317855834961 meV/AA 
validation: epoch: 130, nrg_mae: 0.10418891906738281 meV/atom, force_mae: 3.5026237964630127 meV/AA, max fae: 80.95817565917969 meV/AA 
validation: epoch: 140, nrg_mae: 0.1018524169921875 meV/atom, force_mae: 3.4759891033172607 meV/AA, max fae: 80.1270751953125 meV/AA 
validation: epoch: 150, nrg_mae: 0.1052752137184143 meV/atom, force_mae: 3.4322943687438965 meV/AA, max fae: 76.98431396484375 meV/AA 
validation: epoch: 160, nrg_mae: 0.10720491409301758 meV/atom, force_mae: 3.2971818447113037 meV/AA, max fae: 75.79698944091797 meV/AA 
validation: epoch: 170, nrg_mae: 0.09380728006362915 meV/atom, force_mae: 3.29504656791687 meV/AA, max fae: 72.98411560058594 meV/AA 
validation: epoch: 180, nrg_mae: 0.09452402591705322 meV/atom, force_mae: 3.32159423828125 meV/AA, max fae: 73.73409271240234 meV/AA 
validation: epoch: 190, nrg_mae: 0.09150952100753784 meV/atom, force_mae: 3.3319172859191895 meV/AA, max fae: 74.72693634033203 meV/AA 
validation: epoch: 200, nrg_mae: 0.08394122123718262 meV/atom, force_mae: 3.3271281719207764 meV/AA, max fae: 74.34674835205078 meV/AA 
validation: epoch: 210, nrg_mae: 0.0695943832397461 meV/atom, force_mae: 3.4211807250976562 meV/AA, max fae: 72.7199935913086 meV/AA 
validation: epoch: 220, nrg_mae: 0.07376670837402344 meV/atom, force_mae: 3.3954081535339355 meV/AA, max fae: 73.48906707763672 meV/AA 
validation: epoch: 230, nrg_mae: 0.06688833236694336 meV/atom, force_mae: 3.368438243865967 meV/AA, max fae: 73.17186737060547 meV/AA 
validation: epoch: 240, nrg_mae: 0.06506890058517456 meV/atom, force_mae: 3.3807239532470703 meV/AA, max fae: 73.22139739990234 meV/AA 
validation: epoch: 250, nrg_mae: 0.06784200668334961 meV/atom, force_mae: 3.3229522705078125 meV/AA, max fae: 76.16310119628906 meV/AA 
validation: epoch: 260, nrg_mae: 0.06389915943145752 meV/atom, force_mae: 3.3734302520751953 meV/AA, max fae: 75.34678649902344 meV/AA 
validation: epoch: 270, nrg_mae: 0.06222724914550781 meV/atom, force_mae: 3.3370449542999268 meV/AA, max fae: 76.41419982910156 meV/AA 
validation: epoch: 280, nrg_mae: 0.06435364484786987 meV/atom, force_mae: 3.3371684551239014 meV/AA, max fae: 76.48571014404297 meV/AA 
validation: epoch: 290, nrg_mae: 0.0590786337852478 meV/atom, force_mae: 3.3106560707092285 meV/AA, max fae: 75.77841186523438 meV/AA 
