validation: epoch: 0, nrg_mae: 0.8050456643104553 meV/atom, force_mae: 8.676347732543945 meV/AA, max fae: 328.29754638671875 meV/AA 
validation: epoch: 10, nrg_mae: 0.6090879440307617 meV/atom, force_mae: 5.522096633911133 meV/AA, max fae: 205.07655334472656 meV/AA 
validation: epoch: 20, nrg_mae: 0.4954680800437927 meV/atom, force_mae: 5.540864944458008 meV/AA, max fae: 172.7771759033203 meV/AA 
validation: epoch: 30, nrg_mae: 0.4477575421333313 meV/atom, force_mae: 4.458028316497803 meV/AA, max fae: 174.33535766601562 meV/AA 
validation: epoch: 40, nrg_mae: 0.27539581060409546 meV/atom, force_mae: 3.9666807651519775 meV/AA, max fae: 122.34751892089844 meV/AA 
validation: epoch: 50, nrg_mae: 0.20238757133483887 meV/atom, force_mae: 3.914912700653076 meV/AA, max fae: 105.03263854980469 meV/AA 
validation: epoch: 60, nrg_mae: 0.14203041791915894 meV/atom, force_mae: 3.7990334033966064 meV/AA, max fae: 94.93577575683594 meV/AA 
validation: epoch: 70, nrg_mae: 0.1503273844718933 meV/atom, force_mae: 3.7048544883728027 meV/AA, max fae: 99.28304290771484 meV/AA 
validation: epoch: 80, nrg_mae: 0.11577755212783813 meV/atom, force_mae: 3.7456603050231934 meV/AA, max fae: 85.42691040039062 meV/AA 
validation: epoch: 90, nrg_mae: 0.11715739965438843 meV/atom, force_mae: 3.568422794342041 meV/AA, max fae: 73.48368835449219 meV/AA 
validation: epoch: 100, nrg_mae: 0.1337796449661255 meV/atom, force_mae: 3.731060028076172 meV/AA, max fae: 80.99864196777344 meV/AA 
validation: epoch: 110, nrg_mae: 0.09610503911972046 meV/atom, force_mae: 3.8088538646698 meV/AA, max fae: 87.01014709472656 meV/AA 
validation: epoch: 120, nrg_mae: 0.09212791919708252 meV/atom, force_mae: 3.649975061416626 meV/AA, max fae: 73.64155578613281 meV/AA 
validation: epoch: 130, nrg_mae: 0.10386854410171509 meV/atom, force_mae: 3.4642536640167236 meV/AA, max fae: 79.19916534423828 meV/AA 
validation: epoch: 140, nrg_mae: 0.10764449834823608 meV/atom, force_mae: 3.353654384613037 meV/AA, max fae: 75.66265869140625 meV/AA 
validation: epoch: 150, nrg_mae: 0.09723305702209473 meV/atom, force_mae: 3.359940528869629 meV/AA, max fae: 74.68080139160156 meV/AA 
validation: epoch: 160, nrg_mae: 0.09686052799224854 meV/atom, force_mae: 3.3536739349365234 meV/AA, max fae: 81.27814483642578 meV/AA 
validation: epoch: 170, nrg_mae: 0.08702576160430908 meV/atom, force_mae: 3.3250508308410645 meV/AA, max fae: 76.96558380126953 meV/AA 
validation: epoch: 180, nrg_mae: 0.08906573057174683 meV/atom, force_mae: 3.3111886978149414 meV/AA, max fae: 76.44107818603516 meV/AA 
validation: epoch: 190, nrg_mae: 0.08109062910079956 meV/atom, force_mae: 3.2995848655700684 meV/AA, max fae: 77.15460968017578 meV/AA 
validation: epoch: 200, nrg_mae: 0.08387118577957153 meV/atom, force_mae: 3.2628214359283447 meV/AA, max fae: 74.41825866699219 meV/AA 
validation: epoch: 210, nrg_mae: 0.07736831903457642 meV/atom, force_mae: 3.2919039726257324 meV/AA, max fae: 73.05509185791016 meV/AA 
validation: epoch: 220, nrg_mae: 0.06949901580810547 meV/atom, force_mae: 3.2834599018096924 meV/AA, max fae: 71.1187744140625 meV/AA 
validation: epoch: 230, nrg_mae: 0.06363838911056519 meV/atom, force_mae: 3.328315019607544 meV/AA, max fae: 68.98692321777344 meV/AA 
validation: epoch: 240, nrg_mae: 0.06517469882965088 meV/atom, force_mae: 3.2828903198242188 meV/AA, max fae: 71.57269287109375 meV/AA 
validation: epoch: 250, nrg_mae: 0.06934255361557007 meV/atom, force_mae: 3.252201557159424 meV/AA, max fae: 73.01224517822266 meV/AA 
validation: epoch: 260, nrg_mae: 0.06830096244812012 meV/atom, force_mae: 3.205688714981079 meV/AA, max fae: 76.34632110595703 meV/AA 
validation: epoch: 270, nrg_mae: 0.0710025429725647 meV/atom, force_mae: 3.2112953662872314 meV/AA, max fae: 76.7328109741211 meV/AA 
validation: epoch: 280, nrg_mae: 0.06303191184997559 meV/atom, force_mae: 3.2383065223693848 meV/AA, max fae: 74.53455352783203 meV/AA 
validation: epoch: 290, nrg_mae: 0.06250888109207153 meV/atom, force_mae: 3.269465684890747 meV/AA, max fae: 70.22696685791016 meV/AA 
