validation: epoch: 0, nrg_mae: 0.85945725440979 meV/atom, force_mae: 9.195331573486328 meV/AA, max fae: 287.58502197265625 meV/AA 
validation: epoch: 10, nrg_mae: 0.6433472037315369 meV/atom, force_mae: 5.629499912261963 meV/AA, max fae: 210.40135192871094 meV/AA 
validation: epoch: 20, nrg_mae: 0.4416346549987793 meV/atom, force_mae: 4.889679431915283 meV/AA, max fae: 166.20391845703125 meV/AA 
validation: epoch: 30, nrg_mae: 0.36771297454833984 meV/atom, force_mae: 4.349175453186035 meV/AA, max fae: 141.46128845214844 meV/AA 
validation: epoch: 40, nrg_mae: 0.28038471937179565 meV/atom, force_mae: 4.335569381713867 meV/AA, max fae: 114.39624786376953 meV/AA 
validation: epoch: 50, nrg_mae: 0.2068936824798584 meV/atom, force_mae: 4.182703495025635 meV/AA, max fae: 94.25647735595703 meV/AA 
validation: epoch: 60, nrg_mae: 0.1721113920211792 meV/atom, force_mae: 4.072214603424072 meV/AA, max fae: 89.0814208984375 meV/AA 
validation: epoch: 70, nrg_mae: 0.17230361700057983 meV/atom, force_mae: 3.9501991271972656 meV/AA, max fae: 88.5836181640625 meV/AA 
validation: epoch: 80, nrg_mae: 0.15184879302978516 meV/atom, force_mae: 3.918036460876465 meV/AA, max fae: 83.9658203125 meV/AA 
validation: epoch: 90, nrg_mae: 0.15288740396499634 meV/atom, force_mae: 3.9303839206695557 meV/AA, max fae: 80.31915283203125 meV/AA 
validation: epoch: 100, nrg_mae: 0.1564905047416687 meV/atom, force_mae: 3.7771852016448975 meV/AA, max fae: 82.497802734375 meV/AA 
validation: epoch: 110, nrg_mae: 0.15082210302352905 meV/atom, force_mae: 3.575657606124878 meV/AA, max fae: 86.56279754638672 meV/AA 
validation: epoch: 120, nrg_mae: 0.13150423765182495 meV/atom, force_mae: 3.496978521347046 meV/AA, max fae: 87.01238250732422 meV/AA 
validation: epoch: 130, nrg_mae: 0.11563748121261597 meV/atom, force_mae: 3.477971076965332 meV/AA, max fae: 88.16030883789062 meV/AA 
validation: epoch: 140, nrg_mae: 0.12828409671783447 meV/atom, force_mae: 3.4142982959747314 meV/AA, max fae: 85.24891662597656 meV/AA 
validation: epoch: 150, nrg_mae: 0.1168668270111084 meV/atom, force_mae: 3.4415123462677 meV/AA, max fae: 85.75028228759766 meV/AA 
validation: epoch: 160, nrg_mae: 0.10350048542022705 meV/atom, force_mae: 3.440002918243408 meV/AA, max fae: 86.8362808227539 meV/AA 
validation: epoch: 170, nrg_mae: 0.10679513216018677 meV/atom, force_mae: 3.4327666759490967 meV/AA, max fae: 87.53626251220703 meV/AA 
validation: epoch: 180, nrg_mae: 0.10348856449127197 meV/atom, force_mae: 3.4508674144744873 meV/AA, max fae: 85.86372375488281 meV/AA 
validation: epoch: 190, nrg_mae: 0.10585635900497437 meV/atom, force_mae: 3.453960418701172 meV/AA, max fae: 83.13438415527344 meV/AA 
validation: epoch: 200, nrg_mae: 0.0973135232925415 meV/atom, force_mae: 3.4345815181732178 meV/AA, max fae: 78.60430908203125 meV/AA 
validation: epoch: 210, nrg_mae: 0.10138601064682007 meV/atom, force_mae: 3.4027366638183594 meV/AA, max fae: 78.14009857177734 meV/AA 
validation: epoch: 220, nrg_mae: 0.09674429893493652 meV/atom, force_mae: 3.4028537273406982 meV/AA, max fae: 73.46966552734375 meV/AA 
validation: epoch: 230, nrg_mae: 0.08612275123596191 meV/atom, force_mae: 3.350188970565796 meV/AA, max fae: 68.7424087524414 meV/AA 
validation: epoch: 240, nrg_mae: 0.09652972221374512 meV/atom, force_mae: 3.31103253364563 meV/AA, max fae: 74.1317138671875 meV/AA 
validation: epoch: 250, nrg_mae: 0.07373988628387451 meV/atom, force_mae: 3.22491455078125 meV/AA, max fae: 76.40530395507812 meV/AA 
validation: epoch: 260, nrg_mae: 0.07547587156295776 meV/atom, force_mae: 3.302264928817749 meV/AA, max fae: 72.67965698242188 meV/AA 
validation: epoch: 270, nrg_mae: 0.06118267774581909 meV/atom, force_mae: 3.264505386352539 meV/AA, max fae: 69.63673400878906 meV/AA 
validation: epoch: 280, nrg_mae: 0.05094707012176514 meV/atom, force_mae: 3.277226448059082 meV/AA, max fae: 64.83787536621094 meV/AA 
validation: epoch: 290, nrg_mae: 0.06179213151335716 meV/atom, force_mae: 3.23110294342041 meV/AA, max fae: 66.2081527709961 meV/AA 
