validation: epoch: 0, nrg_mae: 0.8715718984603882 meV/atom, force_mae: 10.519203186035156 meV/AA, max fae: 365.2742614746094 meV/AA 
validation: epoch: 10, nrg_mae: 0.5923047661781311 meV/atom, force_mae: 5.711421012878418 meV/AA, max fae: 206.26727294921875 meV/AA 
validation: epoch: 20, nrg_mae: 0.39487630128860474 meV/atom, force_mae: 4.479824542999268 meV/AA, max fae: 153.32867431640625 meV/AA 
validation: epoch: 30, nrg_mae: 0.3285333514213562 meV/atom, force_mae: 4.180349826812744 meV/AA, max fae: 132.16183471679688 meV/AA 
validation: epoch: 40, nrg_mae: 0.21433085203170776 meV/atom, force_mae: 3.763503313064575 meV/AA, max fae: 103.8685302734375 meV/AA 
validation: epoch: 50, nrg_mae: 0.1607447862625122 meV/atom, force_mae: 3.982489824295044 meV/AA, max fae: 94.32681274414062 meV/AA 
validation: epoch: 60, nrg_mae: 0.17180144786834717 meV/atom, force_mae: 3.8295605182647705 meV/AA, max fae: 101.26612854003906 meV/AA 
validation: epoch: 70, nrg_mae: 0.15254169702529907 meV/atom, force_mae: 3.8716812133789062 meV/AA, max fae: 98.356201171875 meV/AA 
validation: epoch: 80, nrg_mae: 0.15278905630111694 meV/atom, force_mae: 3.8650848865509033 meV/AA, max fae: 87.67554473876953 meV/AA 
validation: epoch: 90, nrg_mae: 0.12733638286590576 meV/atom, force_mae: 3.732715129852295 meV/AA, max fae: 81.75201416015625 meV/AA 
validation: epoch: 100, nrg_mae: 0.12782365083694458 meV/atom, force_mae: 3.792863368988037 meV/AA, max fae: 78.4081802368164 meV/AA 
validation: epoch: 110, nrg_mae: 0.1252785325050354 meV/atom, force_mae: 3.8253486156463623 meV/AA, max fae: 79.6697998046875 meV/AA 
validation: epoch: 120, nrg_mae: 0.13398975133895874 meV/atom, force_mae: 3.72421932220459 meV/AA, max fae: 80.04129028320312 meV/AA 
validation: epoch: 130, nrg_mae: 0.1097559928894043 meV/atom, force_mae: 3.69162654876709 meV/AA, max fae: 76.96939849853516 meV/AA 
validation: epoch: 140, nrg_mae: 0.09099990129470825 meV/atom, force_mae: 3.64227294921875 meV/AA, max fae: 78.29840850830078 meV/AA 
validation: epoch: 150, nrg_mae: 0.09571760892868042 meV/atom, force_mae: 3.672665596008301 meV/AA, max fae: 78.78461456298828 meV/AA 
validation: epoch: 160, nrg_mae: 0.0971674919128418 meV/atom, force_mae: 3.613985300064087 meV/AA, max fae: 81.020263671875 meV/AA 
validation: epoch: 170, nrg_mae: 0.09849220514297485 meV/atom, force_mae: 3.500831127166748 meV/AA, max fae: 77.96296691894531 meV/AA 
validation: epoch: 180, nrg_mae: 0.09066760540008545 meV/atom, force_mae: 3.4880762100219727 meV/AA, max fae: 78.92662048339844 meV/AA 
validation: epoch: 190, nrg_mae: 0.06981343030929565 meV/atom, force_mae: 3.402613401412964 meV/AA, max fae: 72.9505844116211 meV/AA 
validation: epoch: 200, nrg_mae: 0.08303523063659668 meV/atom, force_mae: 3.3645071983337402 meV/AA, max fae: 77.54948425292969 meV/AA 
validation: epoch: 210, nrg_mae: 0.07754266262054443 meV/atom, force_mae: 3.35839581489563 meV/AA, max fae: 78.02323913574219 meV/AA 
validation: epoch: 220, nrg_mae: 0.06944388151168823 meV/atom, force_mae: 3.391427755355835 meV/AA, max fae: 75.79342651367188 meV/AA 
validation: epoch: 230, nrg_mae: 0.06397813558578491 meV/atom, force_mae: 3.305311441421509 meV/AA, max fae: 68.5223617553711 meV/AA 
validation: epoch: 240, nrg_mae: 0.07144957780838013 meV/atom, force_mae: 3.265324354171753 meV/AA, max fae: 69.45750427246094 meV/AA 
validation: epoch: 250, nrg_mae: 0.07467567920684814 meV/atom, force_mae: 3.2456135749816895 meV/AA, max fae: 67.19359588623047 meV/AA 
validation: epoch: 260, nrg_mae: 0.06442815065383911 meV/atom, force_mae: 3.2649085521698 meV/AA, max fae: 65.84529876708984 meV/AA 
validation: epoch: 270, nrg_mae: 0.06284266710281372 meV/atom, force_mae: 3.1995692253112793 meV/AA, max fae: 66.45326232910156 meV/AA 
validation: epoch: 280, nrg_mae: 0.05399882793426514 meV/atom, force_mae: 3.2401235103607178 meV/AA, max fae: 65.75828552246094 meV/AA 
validation: epoch: 290, nrg_mae: 0.05347132682800293 meV/atom, force_mae: 3.2698988914489746 meV/AA, max fae: 66.75952911376953 meV/AA 
