validation: epoch: 0, nrg_mae: 4.4768853187561035 meV/atom, force_mae: 15.321529388427734 meV/AA, max fae: 282.0315246582031 meV/AA 
validation: epoch: 10, nrg_mae: 0.6048768758773804 meV/atom, force_mae: 5.375980854034424 meV/AA, max fae: 206.9964141845703 meV/AA 
validation: epoch: 20, nrg_mae: 0.4749298095703125 meV/atom, force_mae: 4.8707170486450195 meV/AA, max fae: 179.7813720703125 meV/AA 
validation: epoch: 30, nrg_mae: 0.3797680139541626 meV/atom, force_mae: 4.327648639678955 meV/AA, max fae: 160.92991638183594 meV/AA 
validation: epoch: 40, nrg_mae: 0.32353997230529785 meV/atom, force_mae: 4.037440299987793 meV/AA, max fae: 153.4745635986328 meV/AA 
validation: epoch: 50, nrg_mae: 0.26313960552215576 meV/atom, force_mae: 3.9792139530181885 meV/AA, max fae: 121.5743408203125 meV/AA 
validation: epoch: 60, nrg_mae: 0.20622611045837402 meV/atom, force_mae: 3.866014003753662 meV/AA, max fae: 104.1771011352539 meV/AA 
validation: epoch: 70, nrg_mae: 0.17008334398269653 meV/atom, force_mae: 3.8299026489257812 meV/AA, max fae: 95.71044158935547 meV/AA 
validation: epoch: 80, nrg_mae: 0.16650408506393433 meV/atom, force_mae: 3.9010698795318604 meV/AA, max fae: 103.65240478515625 meV/AA 
validation: epoch: 90, nrg_mae: 0.15685409307479858 meV/atom, force_mae: 3.5834431648254395 meV/AA, max fae: 91.51911926269531 meV/AA 
validation: epoch: 100, nrg_mae: 0.1374766230583191 meV/atom, force_mae: 3.5323269367218018 meV/AA, max fae: 89.31128692626953 meV/AA 
validation: epoch: 110, nrg_mae: 0.1274317502975464 meV/atom, force_mae: 3.5141212940216064 meV/AA, max fae: 85.40259552001953 meV/AA 
validation: epoch: 120, nrg_mae: 0.10573714971542358 meV/atom, force_mae: 3.466521978378296 meV/AA, max fae: 87.41966247558594 meV/AA 
validation: epoch: 130, nrg_mae: 0.10583251714706421 meV/atom, force_mae: 3.598071336746216 meV/AA, max fae: 84.07020568847656 meV/AA 
validation: epoch: 140, nrg_mae: 0.11407285928726196 meV/atom, force_mae: 3.508120059967041 meV/AA, max fae: 81.03254699707031 meV/AA 
validation: epoch: 150, nrg_mae: 0.10018050670623779 meV/atom, force_mae: 3.4816160202026367 meV/AA, max fae: 70.89668273925781 meV/AA 
validation: epoch: 160, nrg_mae: 0.10348856449127197 meV/atom, force_mae: 3.4457650184631348 meV/AA, max fae: 74.50851440429688 meV/AA 
validation: epoch: 170, nrg_mae: 0.08218139410018921 meV/atom, force_mae: 3.424844741821289 meV/AA, max fae: 75.985107421875 meV/AA 
validation: epoch: 180, nrg_mae: 0.09145587682723999 meV/atom, force_mae: 3.3913302421569824 meV/AA, max fae: 77.14290618896484 meV/AA 
validation: epoch: 190, nrg_mae: 0.0824853777885437 meV/atom, force_mae: 3.416551351547241 meV/AA, max fae: 72.66707611083984 meV/AA 
validation: epoch: 200, nrg_mae: 0.08637011051177979 meV/atom, force_mae: 3.3736658096313477 meV/AA, max fae: 75.12899017333984 meV/AA 
validation: epoch: 210, nrg_mae: 0.07957816123962402 meV/atom, force_mae: 3.3302419185638428 meV/AA, max fae: 72.71318054199219 meV/AA 
validation: epoch: 220, nrg_mae: 0.0774383544921875 meV/atom, force_mae: 3.316382646560669 meV/AA, max fae: 70.4532699584961 meV/AA 
validation: epoch: 230, nrg_mae: 0.08581876754760742 meV/atom, force_mae: 3.2332634925842285 meV/AA, max fae: 71.03616333007812 meV/AA 
validation: epoch: 240, nrg_mae: 0.08169561624526978 meV/atom, force_mae: 3.22705340385437 meV/AA, max fae: 67.39842987060547 meV/AA 
validation: epoch: 250, nrg_mae: 0.07828474044799805 meV/atom, force_mae: 3.188138008117676 meV/AA, max fae: 71.61259460449219 meV/AA 
validation: epoch: 260, nrg_mae: 0.07451474666595459 meV/atom, force_mae: 3.1908910274505615 meV/AA, max fae: 69.13414764404297 meV/AA 
validation: epoch: 270, nrg_mae: 0.06665736436843872 meV/atom, force_mae: 3.213311195373535 meV/AA, max fae: 67.00898742675781 meV/AA 
validation: epoch: 280, nrg_mae: 0.06787031888961792 meV/atom, force_mae: 3.207690954208374 meV/AA, max fae: 68.1046371459961 meV/AA 
validation: epoch: 290, nrg_mae: 0.06762593984603882 meV/atom, force_mae: 3.1811912059783936 meV/AA, max fae: 69.87651062011719 meV/AA 
