validation: epoch: 0, nrg_mae: 0.7735242247581482 meV/atom, force_mae: 6.09980583190918 meV/AA, max fae: 227.13357543945312 meV/AA 
validation: epoch: 1, nrg_mae: 0.7806159257888794 meV/atom, force_mae: 5.633480548858643 meV/AA, max fae: 233.71742248535156 meV/AA 
validation: epoch: 2, nrg_mae: 0.7759965658187866 meV/atom, force_mae: 5.570945739746094 meV/AA, max fae: 236.7740936279297 meV/AA 
validation: epoch: 3, nrg_mae: 0.7645140290260315 meV/atom, force_mae: 5.356106758117676 meV/AA, max fae: 237.59092712402344 meV/AA 
validation: epoch: 4, nrg_mae: 0.7431929111480713 meV/atom, force_mae: 5.409131050109863 meV/AA, max fae: 241.293701171875 meV/AA 
validation: epoch: 5, nrg_mae: 0.7474856972694397 meV/atom, force_mae: 5.306163787841797 meV/AA, max fae: 231.2933349609375 meV/AA 
validation: epoch: 6, nrg_mae: 0.6752349138259888 meV/atom, force_mae: 5.498254776000977 meV/AA, max fae: 223.1643829345703 meV/AA 
validation: epoch: 7, nrg_mae: 0.6744042038917542 meV/atom, force_mae: 5.480823993682861 meV/AA, max fae: 205.962646484375 meV/AA 
validation: epoch: 8, nrg_mae: 0.6155123114585876 meV/atom, force_mae: 5.445123195648193 meV/AA, max fae: 207.28724670410156 meV/AA 
validation: epoch: 9, nrg_mae: 0.5825521945953369 meV/atom, force_mae: 5.392830848693848 meV/AA, max fae: 189.59535217285156 meV/AA 
validation: epoch: 10, nrg_mae: 0.5901492834091187 meV/atom, force_mae: 5.300766468048096 meV/AA, max fae: 186.82725524902344 meV/AA 
validation: epoch: 11, nrg_mae: 0.5929184556007385 meV/atom, force_mae: 5.178584098815918 meV/AA, max fae: 190.82962036132812 meV/AA 
validation: epoch: 12, nrg_mae: 0.5883549451828003 meV/atom, force_mae: 4.993899345397949 meV/AA, max fae: 186.12486267089844 meV/AA 
validation: epoch: 13, nrg_mae: 0.5879687666893005 meV/atom, force_mae: 4.987214088439941 meV/AA, max fae: 196.4124755859375 meV/AA 
validation: epoch: 14, nrg_mae: 0.552518904209137 meV/atom, force_mae: 4.815164089202881 meV/AA, max fae: 188.0689239501953 meV/AA 
validation: epoch: 15, nrg_mae: 0.5469260215759277 meV/atom, force_mae: 4.889559745788574 meV/AA, max fae: 186.22824096679688 meV/AA 
validation: epoch: 16, nrg_mae: 0.5156633853912354 meV/atom, force_mae: 4.766490459442139 meV/AA, max fae: 183.0507354736328 meV/AA 
validation: epoch: 17, nrg_mae: 0.5331287980079651 meV/atom, force_mae: 4.552560329437256 meV/AA, max fae: 184.08848571777344 meV/AA 
validation: epoch: 18, nrg_mae: 0.5440587997436523 meV/atom, force_mae: 4.444234371185303 meV/AA, max fae: 181.2244415283203 meV/AA 
validation: epoch: 19, nrg_mae: 0.5423439145088196 meV/atom, force_mae: 4.496055603027344 meV/AA, max fae: 184.6605224609375 meV/AA 
validation: epoch: 20, nrg_mae: 0.5250138640403748 meV/atom, force_mae: 4.447131633758545 meV/AA, max fae: 179.77398681640625 meV/AA 
validation: epoch: 21, nrg_mae: 0.5035934448242188 meV/atom, force_mae: 4.431797504425049 meV/AA, max fae: 181.253173828125 meV/AA 
validation: epoch: 22, nrg_mae: 0.4741884768009186 meV/atom, force_mae: 4.419999599456787 meV/AA, max fae: 169.9401397705078 meV/AA 
validation: epoch: 23, nrg_mae: 0.41084861755371094 meV/atom, force_mae: 4.303127765655518 meV/AA, max fae: 161.11605834960938 meV/AA 
validation: epoch: 24, nrg_mae: 0.38490691781044006 meV/atom, force_mae: 4.264979362487793 meV/AA, max fae: 152.60565185546875 meV/AA 
validation: epoch: 25, nrg_mae: 0.39707621932029724 meV/atom, force_mae: 4.223230361938477 meV/AA, max fae: 153.43362426757812 meV/AA 
validation: epoch: 26, nrg_mae: 0.39387246966362 meV/atom, force_mae: 4.237593650817871 meV/AA, max fae: 153.81321716308594 meV/AA 
validation: epoch: 27, nrg_mae: 0.423158198595047 meV/atom, force_mae: 4.001016139984131 meV/AA, max fae: 159.1534881591797 meV/AA 
validation: epoch: 28, nrg_mae: 0.4286157488822937 meV/atom, force_mae: 4.046546936035156 meV/AA, max fae: 158.6108856201172 meV/AA 
validation: epoch: 29, nrg_mae: 0.4156455397605896 meV/atom, force_mae: 4.03416109085083 meV/AA, max fae: 149.7187957763672 meV/AA 
validation: epoch: 30, nrg_mae: 0.384259968996048 meV/atom, force_mae: 4.0329437255859375 meV/AA, max fae: 147.24468994140625 meV/AA 
validation: epoch: 31, nrg_mae: 0.3324560821056366 meV/atom, force_mae: 4.047766208648682 meV/AA, max fae: 142.74549865722656 meV/AA 
validation: epoch: 32, nrg_mae: 0.33241137862205505 meV/atom, force_mae: 4.12289571762085 meV/AA, max fae: 142.62750244140625 meV/AA 
validation: epoch: 33, nrg_mae: 0.3192896544933319 meV/atom, force_mae: 4.131834983825684 meV/AA, max fae: 141.77392578125 meV/AA 
validation: epoch: 34, nrg_mae: 0.3311249017715454 meV/atom, force_mae: 4.028595924377441 meV/AA, max fae: 145.29010009765625 meV/AA 
validation: epoch: 35, nrg_mae: 0.3392808139324188 meV/atom, force_mae: 4.059858798980713 meV/AA, max fae: 143.38668823242188 meV/AA 
validation: epoch: 36, nrg_mae: 0.3130088150501251 meV/atom, force_mae: 4.106619358062744 meV/AA, max fae: 141.19891357421875 meV/AA 
validation: epoch: 37, nrg_mae: 0.31416118144989014 meV/atom, force_mae: 4.10449743270874 meV/AA, max fae: 139.1852569580078 meV/AA 
validation: epoch: 38, nrg_mae: 0.32417723536491394 meV/atom, force_mae: 4.0203046798706055 meV/AA, max fae: 139.0878143310547 meV/AA 
validation: epoch: 39, nrg_mae: 0.31942999362945557 meV/atom, force_mae: 4.038671493530273 meV/AA, max fae: 140.6836700439453 meV/AA 
validation: epoch: 40, nrg_mae: 0.287376344203949 meV/atom, force_mae: 4.137296199798584 meV/AA, max fae: 133.94598388671875 meV/AA 
validation: epoch: 41, nrg_mae: 0.29210126399993896 meV/atom, force_mae: 4.133950710296631 meV/AA, max fae: 133.83387756347656 meV/AA 
validation: epoch: 42, nrg_mae: 0.2773491144180298 meV/atom, force_mae: 4.122417449951172 meV/AA, max fae: 132.68789672851562 meV/AA 
validation: epoch: 43, nrg_mae: 0.27464330196380615 meV/atom, force_mae: 4.243175029754639 meV/AA, max fae: 129.90182495117188 meV/AA 
validation: epoch: 44, nrg_mae: 0.2783338129520416 meV/atom, force_mae: 4.171362400054932 meV/AA, max fae: 131.688720703125 meV/AA 
validation: epoch: 45, nrg_mae: 0.27417638897895813 meV/atom, force_mae: 4.172290802001953 meV/AA, max fae: 131.93621826171875 meV/AA 
validation: epoch: 46, nrg_mae: 0.27641528844833374 meV/atom, force_mae: 4.118532180786133 meV/AA, max fae: 131.56259155273438 meV/AA 
validation: epoch: 47, nrg_mae: 0.2618866562843323 meV/atom, force_mae: 4.1762824058532715 meV/AA, max fae: 125.39413452148438 meV/AA 
validation: epoch: 48, nrg_mae: 0.2456357181072235 meV/atom, force_mae: 4.1995530128479 meV/AA, max fae: 122.92623138427734 meV/AA 
validation: epoch: 49, nrg_mae: 0.2541778087615967 meV/atom, force_mae: 4.186418056488037 meV/AA, max fae: 122.47888946533203 meV/AA 
validation: epoch: 50, nrg_mae: 0.22587180137634277 meV/atom, force_mae: 4.20731782913208 meV/AA, max fae: 117.4655990600586 meV/AA 
validation: epoch: 51, nrg_mae: 0.2323649823665619 meV/atom, force_mae: 4.211606025695801 meV/AA, max fae: 115.82039642333984 meV/AA 
validation: epoch: 52, nrg_mae: 0.2559286952018738 meV/atom, force_mae: 4.139410972595215 meV/AA, max fae: 119.81613159179688 meV/AA 
validation: epoch: 53, nrg_mae: 0.2473580241203308 meV/atom, force_mae: 4.124916076660156 meV/AA, max fae: 118.36636352539062 meV/AA 
validation: epoch: 54, nrg_mae: 0.24807825684547424 meV/atom, force_mae: 4.130808353424072 meV/AA, max fae: 117.65574645996094 meV/AA 
validation: epoch: 55, nrg_mae: 0.2342921942472458 meV/atom, force_mae: 4.114480972290039 meV/AA, max fae: 114.4280014038086 meV/AA 
validation: epoch: 56, nrg_mae: 0.22529686987400055 meV/atom, force_mae: 4.146407127380371 meV/AA, max fae: 114.41109466552734 meV/AA 
validation: epoch: 57, nrg_mae: 0.2346336841583252 meV/atom, force_mae: 4.1153564453125 meV/AA, max fae: 115.37000274658203 meV/AA 
validation: epoch: 58, nrg_mae: 0.2368924468755722 meV/atom, force_mae: 4.10727071762085 meV/AA, max fae: 115.76636505126953 meV/AA 
validation: epoch: 59, nrg_mae: 0.2376760095357895 meV/atom, force_mae: 4.081577301025391 meV/AA, max fae: 115.31523895263672 meV/AA 
validation: epoch: 60, nrg_mae: 0.20883728563785553 meV/atom, force_mae: 4.12237548828125 meV/AA, max fae: 109.41569519042969 meV/AA 
validation: epoch: 61, nrg_mae: 0.2163325697183609 meV/atom, force_mae: 4.162111759185791 meV/AA, max fae: 108.82965850830078 meV/AA 
validation: epoch: 62, nrg_mae: 0.20832319557666779 meV/atom, force_mae: 4.105692386627197 meV/AA, max fae: 105.83773040771484 meV/AA 
validation: epoch: 63, nrg_mae: 0.20241986215114594 meV/atom, force_mae: 4.080347537994385 meV/AA, max fae: 105.27677917480469 meV/AA 
validation: epoch: 64, nrg_mae: 0.2077345997095108 meV/atom, force_mae: 4.075107574462891 meV/AA, max fae: 105.58187866210938 meV/AA 
validation: epoch: 65, nrg_mae: 0.2057987004518509 meV/atom, force_mae: 4.086665153503418 meV/AA, max fae: 105.94145965576172 meV/AA 
validation: epoch: 66, nrg_mae: 0.20780041813850403 meV/atom, force_mae: 3.992868185043335 meV/AA, max fae: 102.95162963867188 meV/AA 
validation: epoch: 67, nrg_mae: 0.20182877779006958 meV/atom, force_mae: 3.9838390350341797 meV/AA, max fae: 104.76255798339844 meV/AA 
validation: epoch: 68, nrg_mae: 0.1830868422985077 meV/atom, force_mae: 3.9183967113494873 meV/AA, max fae: 99.31999206542969 meV/AA 
validation: epoch: 69, nrg_mae: 0.15719358623027802 meV/atom, force_mae: 3.8731136322021484 meV/AA, max fae: 98.6436767578125 meV/AA 
validation: epoch: 70, nrg_mae: 0.16200293600559235 meV/atom, force_mae: 3.9201653003692627 meV/AA, max fae: 99.07452392578125 meV/AA 
validation: epoch: 71, nrg_mae: 0.1645497977733612 meV/atom, force_mae: 3.8889172077178955 meV/AA, max fae: 100.70191192626953 meV/AA 
validation: epoch: 72, nrg_mae: 0.16406674683094025 meV/atom, force_mae: 3.874368667602539 meV/AA, max fae: 100.40709686279297 meV/AA 
validation: epoch: 73, nrg_mae: 0.16611318290233612 meV/atom, force_mae: 3.8240504264831543 meV/AA, max fae: 101.0205307006836 meV/AA 
validation: epoch: 74, nrg_mae: 0.20652015507221222 meV/atom, force_mae: 3.808908462524414 meV/AA, max fae: 101.50350952148438 meV/AA 
validation: epoch: 75, nrg_mae: 0.18768012523651123 meV/atom, force_mae: 3.7934532165527344 meV/AA, max fae: 102.23181915283203 meV/AA 
validation: epoch: 76, nrg_mae: 0.1865004450082779 meV/atom, force_mae: 3.7582664489746094 meV/AA, max fae: 99.86798095703125 meV/AA 
validation: epoch: 77, nrg_mae: 0.17984335124492645 meV/atom, force_mae: 3.703620433807373 meV/AA, max fae: 97.33525085449219 meV/AA 
validation: epoch: 78, nrg_mae: 0.15987952053546906 meV/atom, force_mae: 3.7280495166778564 meV/AA, max fae: 94.0324478149414 meV/AA 
validation: epoch: 79, nrg_mae: 0.17011289298534393 meV/atom, force_mae: 3.69380784034729 meV/AA, max fae: 92.93132781982422 meV/AA 
validation: epoch: 80, nrg_mae: 0.17367924749851227 meV/atom, force_mae: 3.6993274688720703 meV/AA, max fae: 91.9980239868164 meV/AA 
validation: epoch: 81, nrg_mae: 0.18142040073871613 meV/atom, force_mae: 3.6374239921569824 meV/AA, max fae: 91.85603332519531 meV/AA 
validation: epoch: 82, nrg_mae: 0.16483664512634277 meV/atom, force_mae: 3.626974105834961 meV/AA, max fae: 91.11346435546875 meV/AA 
validation: epoch: 83, nrg_mae: 0.16821052134037018 meV/atom, force_mae: 3.591261863708496 meV/AA, max fae: 87.69518280029297 meV/AA 
validation: epoch: 84, nrg_mae: 0.1661355346441269 meV/atom, force_mae: 3.6203229427337646 meV/AA, max fae: 88.01944732666016 meV/AA 
validation: epoch: 85, nrg_mae: 0.17013151943683624 meV/atom, force_mae: 3.6142563819885254 meV/AA, max fae: 89.62346649169922 meV/AA 
