validation: epoch: 0, nrg_mae: 0.7869141697883606 meV/atom, force_mae: 6.758453369140625 meV/AA, max fae: 234.49069213867188 meV/AA 
validation: epoch: 1, nrg_mae: 0.7938320636749268 meV/atom, force_mae: 5.509337425231934 meV/AA, max fae: 240.0547637939453 meV/AA 
validation: epoch: 2, nrg_mae: 0.7391546964645386 meV/atom, force_mae: 5.285460948944092 meV/AA, max fae: 244.0034637451172 meV/AA 
validation: epoch: 3, nrg_mae: 0.7634150385856628 meV/atom, force_mae: 5.426905632019043 meV/AA, max fae: 246.818359375 meV/AA 
validation: epoch: 4, nrg_mae: 0.7705675959587097 meV/atom, force_mae: 5.370028018951416 meV/AA, max fae: 243.68728637695312 meV/AA 
validation: epoch: 5, nrg_mae: 0.7247812747955322 meV/atom, force_mae: 5.302211284637451 meV/AA, max fae: 237.6057891845703 meV/AA 
validation: epoch: 6, nrg_mae: 0.7289524078369141 meV/atom, force_mae: 5.277815818786621 meV/AA, max fae: 233.17044067382812 meV/AA 
validation: epoch: 7, nrg_mae: 0.6965187788009644 meV/atom, force_mae: 5.165587425231934 meV/AA, max fae: 226.61676025390625 meV/AA 
validation: epoch: 8, nrg_mae: 0.6802665591239929 meV/atom, force_mae: 5.220987319946289 meV/AA, max fae: 223.69967651367188 meV/AA 
validation: epoch: 9, nrg_mae: 0.7182794213294983 meV/atom, force_mae: 5.3125128746032715 meV/AA, max fae: 221.6030731201172 meV/AA 
validation: epoch: 10, nrg_mae: 0.686537504196167 meV/atom, force_mae: 5.2734246253967285 meV/AA, max fae: 214.27645874023438 meV/AA 
validation: epoch: 11, nrg_mae: 0.6375076770782471 meV/atom, force_mae: 5.308326721191406 meV/AA, max fae: 213.41165161132812 meV/AA 
validation: epoch: 12, nrg_mae: 0.6508516669273376 meV/atom, force_mae: 5.342187404632568 meV/AA, max fae: 209.1575164794922 meV/AA 
validation: epoch: 13, nrg_mae: 0.6260859370231628 meV/atom, force_mae: 5.2975544929504395 meV/AA, max fae: 208.08163452148438 meV/AA 
validation: epoch: 14, nrg_mae: 0.661216676235199 meV/atom, force_mae: 4.923413276672363 meV/AA, max fae: 214.71090698242188 meV/AA 
validation: epoch: 15, nrg_mae: 0.588748574256897 meV/atom, force_mae: 4.981478214263916 meV/AA, max fae: 203.22584533691406 meV/AA 
validation: epoch: 16, nrg_mae: 0.557782769203186 meV/atom, force_mae: 4.810576438903809 meV/AA, max fae: 194.15798950195312 meV/AA 
validation: epoch: 17, nrg_mae: 0.5562541484832764 meV/atom, force_mae: 4.804664611816406 meV/AA, max fae: 191.73440551757812 meV/AA 
validation: epoch: 18, nrg_mae: 0.5378686189651489 meV/atom, force_mae: 4.72047233581543 meV/AA, max fae: 191.3188018798828 meV/AA 
validation: epoch: 19, nrg_mae: 0.5152349472045898 meV/atom, force_mae: 4.6252007484436035 meV/AA, max fae: 180.6865692138672 meV/AA 
validation: epoch: 20, nrg_mae: 0.5422396063804626 meV/atom, force_mae: 4.610854625701904 meV/AA, max fae: 183.83880615234375 meV/AA 
validation: epoch: 21, nrg_mae: 0.5004816055297852 meV/atom, force_mae: 4.595198154449463 meV/AA, max fae: 183.91004943847656 meV/AA 
validation: epoch: 22, nrg_mae: 0.5411865711212158 meV/atom, force_mae: 4.606351375579834 meV/AA, max fae: 181.69403076171875 meV/AA 
validation: epoch: 23, nrg_mae: 0.5076192617416382 meV/atom, force_mae: 4.619224548339844 meV/AA, max fae: 179.9240264892578 meV/AA 
