validation: epoch: 0, nrg_mae: 0.7472907304763794 meV/atom, force_mae: 7.5300164222717285 meV/AA, max fae: 261.8898620605469 meV/AA 
validation: epoch: 1, nrg_mae: 0.8026547431945801 meV/atom, force_mae: 5.645148277282715 meV/AA, max fae: 248.27684020996094 meV/AA 
validation: epoch: 2, nrg_mae: 0.7762138843536377 meV/atom, force_mae: 5.334628105163574 meV/AA, max fae: 239.84420776367188 meV/AA 
validation: epoch: 3, nrg_mae: 0.7435927987098694 meV/atom, force_mae: 5.241830348968506 meV/AA, max fae: 234.349853515625 meV/AA 
validation: epoch: 4, nrg_mae: 0.7237692475318909 meV/atom, force_mae: 5.158555507659912 meV/AA, max fae: 236.29588317871094 meV/AA 
validation: epoch: 5, nrg_mae: 0.6870056390762329 meV/atom, force_mae: 5.269238471984863 meV/AA, max fae: 236.93736267089844 meV/AA 
validation: epoch: 6, nrg_mae: 0.7170252799987793 meV/atom, force_mae: 5.335870742797852 meV/AA, max fae: 230.7592010498047 meV/AA 
validation: epoch: 7, nrg_mae: 0.636559009552002 meV/atom, force_mae: 5.599729061126709 meV/AA, max fae: 217.0065155029297 meV/AA 
validation: epoch: 8, nrg_mae: 0.645241379737854 meV/atom, force_mae: 5.413625717163086 meV/AA, max fae: 211.46632385253906 meV/AA 
validation: epoch: 9, nrg_mae: 0.6374902725219727 meV/atom, force_mae: 5.159214973449707 meV/AA, max fae: 204.4513702392578 meV/AA 
validation: epoch: 10, nrg_mae: 0.600053608417511 meV/atom, force_mae: 4.968327045440674 meV/AA, max fae: 196.88473510742188 meV/AA 
validation: epoch: 11, nrg_mae: 0.593613862991333 meV/atom, force_mae: 5.1080145835876465 meV/AA, max fae: 191.36502075195312 meV/AA 
validation: epoch: 12, nrg_mae: 0.5958713293075562 meV/atom, force_mae: 5.00254487991333 meV/AA, max fae: 195.19212341308594 meV/AA 
validation: epoch: 13, nrg_mae: 0.5707852840423584 meV/atom, force_mae: 4.949215412139893 meV/AA, max fae: 199.6146697998047 meV/AA 
validation: epoch: 14, nrg_mae: 0.5703791975975037 meV/atom, force_mae: 4.869182586669922 meV/AA, max fae: 194.8498077392578 meV/AA 
validation: epoch: 15, nrg_mae: 0.5147444605827332 meV/atom, force_mae: 4.771919250488281 meV/AA, max fae: 185.64437866210938 meV/AA 
validation: epoch: 16, nrg_mae: 0.4843187928199768 meV/atom, force_mae: 4.7733964920043945 meV/AA, max fae: 180.3968505859375 meV/AA 
validation: epoch: 17, nrg_mae: 0.5036281943321228 meV/atom, force_mae: 4.682052135467529 meV/AA, max fae: 183.54150390625 meV/AA 
validation: epoch: 18, nrg_mae: 0.4840654730796814 meV/atom, force_mae: 4.639673233032227 meV/AA, max fae: 180.33323669433594 meV/AA 
validation: epoch: 19, nrg_mae: 0.45934319496154785 meV/atom, force_mae: 4.5630879402160645 meV/AA, max fae: 177.54600524902344 meV/AA 
validation: epoch: 20, nrg_mae: 0.4422503113746643 meV/atom, force_mae: 4.533349514007568 meV/AA, max fae: 177.1346435546875 meV/AA 
validation: epoch: 21, nrg_mae: 0.46504661440849304 meV/atom, force_mae: 4.518837928771973 meV/AA, max fae: 175.49400329589844 meV/AA 
validation: epoch: 22, nrg_mae: 0.4725418984889984 meV/atom, force_mae: 4.515579700469971 meV/AA, max fae: 177.1432647705078 meV/AA 
validation: epoch: 23, nrg_mae: 0.48541897535324097 meV/atom, force_mae: 4.542449951171875 meV/AA, max fae: 179.18040466308594 meV/AA 
validation: epoch: 24, nrg_mae: 0.4672495126724243 meV/atom, force_mae: 4.607117176055908 meV/AA, max fae: 178.13632202148438 meV/AA 
validation: epoch: 25, nrg_mae: 0.4372236728668213 meV/atom, force_mae: 4.780406475067139 meV/AA, max fae: 154.110595703125 meV/AA 
validation: epoch: 26, nrg_mae: 0.35102665424346924 meV/atom, force_mae: 4.406267166137695 meV/AA, max fae: 132.4434356689453 meV/AA 
validation: epoch: 27, nrg_mae: 0.2763519585132599 meV/atom, force_mae: 4.289740085601807 meV/AA, max fae: 125.64313507080078 meV/AA 
validation: epoch: 28, nrg_mae: 0.3161802887916565 meV/atom, force_mae: 4.293559551239014 meV/AA, max fae: 131.9119110107422 meV/AA 
validation: epoch: 29, nrg_mae: 0.2909737229347229 meV/atom, force_mae: 4.267452716827393 meV/AA, max fae: 127.86790466308594 meV/AA 
validation: epoch: 30, nrg_mae: 0.2994711101055145 meV/atom, force_mae: 4.243989944458008 meV/AA, max fae: 128.981201171875 meV/AA 
validation: epoch: 31, nrg_mae: 0.3118266761302948 meV/atom, force_mae: 4.30542516708374 meV/AA, max fae: 131.41835021972656 meV/AA 
validation: epoch: 32, nrg_mae: 0.3194486200809479 meV/atom, force_mae: 4.39808464050293 meV/AA, max fae: 125.7077865600586 meV/AA 
validation: epoch: 33, nrg_mae: 0.29745572805404663 meV/atom, force_mae: 4.343310832977295 meV/AA, max fae: 129.10195922851562 meV/AA 
validation: epoch: 34, nrg_mae: 0.29869624972343445 meV/atom, force_mae: 4.273746967315674 meV/AA, max fae: 128.52540588378906 meV/AA 
validation: epoch: 35, nrg_mae: 0.28723105788230896 meV/atom, force_mae: 4.270166397094727 meV/AA, max fae: 126.47549438476562 meV/AA 
validation: epoch: 36, nrg_mae: 0.29405951499938965 meV/atom, force_mae: 4.232509613037109 meV/AA, max fae: 124.82347106933594 meV/AA 
validation: epoch: 37, nrg_mae: 0.26370710134506226 meV/atom, force_mae: 4.141476631164551 meV/AA, max fae: 120.44598388671875 meV/AA 
validation: epoch: 38, nrg_mae: 0.27600178122520447 meV/atom, force_mae: 4.104695796966553 meV/AA, max fae: 112.63703918457031 meV/AA 
validation: epoch: 39, nrg_mae: 0.23397058248519897 meV/atom, force_mae: 3.9984447956085205 meV/AA, max fae: 104.25816345214844 meV/AA 
validation: epoch: 40, nrg_mae: 0.23168325424194336 meV/atom, force_mae: 4.026981353759766 meV/AA, max fae: 103.86579895019531 meV/AA 
validation: epoch: 41, nrg_mae: 0.24022658169269562 meV/atom, force_mae: 4.085214138031006 meV/AA, max fae: 105.18939971923828 meV/AA 
validation: epoch: 42, nrg_mae: 0.23315350711345673 meV/atom, force_mae: 4.068561553955078 meV/AA, max fae: 102.8622055053711 meV/AA 
validation: epoch: 43, nrg_mae: 0.22784124314785004 meV/atom, force_mae: 4.092706680297852 meV/AA, max fae: 101.00181579589844 meV/AA 
validation: epoch: 44, nrg_mae: 0.22184103727340698 meV/atom, force_mae: 4.024602890014648 meV/AA, max fae: 99.18780517578125 meV/AA 
validation: epoch: 45, nrg_mae: 0.21445751190185547 meV/atom, force_mae: 4.04097843170166 meV/AA, max fae: 97.8097152709961 meV/AA 
validation: epoch: 46, nrg_mae: 0.2020212560892105 meV/atom, force_mae: 3.9541358947753906 meV/AA, max fae: 94.03771209716797 meV/AA 
validation: epoch: 47, nrg_mae: 0.2070118933916092 meV/atom, force_mae: 3.9231009483337402 meV/AA, max fae: 97.47406768798828 meV/AA 
validation: epoch: 48, nrg_mae: 0.19969667494297028 meV/atom, force_mae: 3.9266395568847656 meV/AA, max fae: 98.14215087890625 meV/AA 
validation: epoch: 49, nrg_mae: 0.18934036791324615 meV/atom, force_mae: 3.9014527797698975 meV/AA, max fae: 98.00459289550781 meV/AA 
validation: epoch: 50, nrg_mae: 0.17197802662849426 meV/atom, force_mae: 3.9113211631774902 meV/AA, max fae: 94.44223022460938 meV/AA 
validation: epoch: 51, nrg_mae: 0.1746925264596939 meV/atom, force_mae: 3.9259543418884277 meV/AA, max fae: 95.36408233642578 meV/AA 
validation: epoch: 52, nrg_mae: 0.18723060190677643 meV/atom, force_mae: 3.9356932640075684 meV/AA, max fae: 97.15982055664062 meV/AA 
