validation: epoch: 0, nrg_mae: 0.836661696434021 meV/atom, force_mae: 7.955511093139648 meV/AA, max fae: 264.68341064453125 meV/AA 
validation: epoch: 1, nrg_mae: 0.9011253714561462 meV/atom, force_mae: 6.7764129638671875 meV/AA, max fae: 241.08917236328125 meV/AA 
validation: epoch: 2, nrg_mae: 0.8088946342468262 meV/atom, force_mae: 6.034491539001465 meV/AA, max fae: 248.05838012695312 meV/AA 
validation: epoch: 3, nrg_mae: 0.8014093041419983 meV/atom, force_mae: 5.599117279052734 meV/AA, max fae: 249.10061645507812 meV/AA 
validation: epoch: 4, nrg_mae: 0.7817310690879822 meV/atom, force_mae: 5.509669303894043 meV/AA, max fae: 238.88931274414062 meV/AA 
validation: epoch: 5, nrg_mae: 0.7566164135932922 meV/atom, force_mae: 5.5369954109191895 meV/AA, max fae: 233.1913604736328 meV/AA 
validation: epoch: 6, nrg_mae: 0.8064806461334229 meV/atom, force_mae: 5.408005714416504 meV/AA, max fae: 233.70584106445312 meV/AA 
validation: epoch: 7, nrg_mae: 0.7365370988845825 meV/atom, force_mae: 5.310791969299316 meV/AA, max fae: 239.20968627929688 meV/AA 
validation: epoch: 8, nrg_mae: 0.6904489994049072 meV/atom, force_mae: 5.336045742034912 meV/AA, max fae: 228.83860778808594 meV/AA 
validation: epoch: 9, nrg_mae: 0.6813592910766602 meV/atom, force_mae: 5.238212585449219 meV/AA, max fae: 219.392578125 meV/AA 
validation: epoch: 10, nrg_mae: 0.6346181035041809 meV/atom, force_mae: 5.414331912994385 meV/AA, max fae: 213.30201721191406 meV/AA 
validation: epoch: 11, nrg_mae: 0.6719467639923096 meV/atom, force_mae: 5.425632476806641 meV/AA, max fae: 211.35604858398438 meV/AA 
validation: epoch: 12, nrg_mae: 0.6437972187995911 meV/atom, force_mae: 5.49114465713501 meV/AA, max fae: 206.69796752929688 meV/AA 
validation: epoch: 13, nrg_mae: 0.6470630764961243 meV/atom, force_mae: 5.5581889152526855 meV/AA, max fae: 206.1873779296875 meV/AA 
validation: epoch: 14, nrg_mae: 0.6112083792686462 meV/atom, force_mae: 5.652716636657715 meV/AA, max fae: 199.89610290527344 meV/AA 
validation: epoch: 15, nrg_mae: 0.5616582632064819 meV/atom, force_mae: 5.495132923126221 meV/AA, max fae: 200.38128662109375 meV/AA 
validation: epoch: 16, nrg_mae: 0.6025184988975525 meV/atom, force_mae: 5.432404518127441 meV/AA, max fae: 199.76483154296875 meV/AA 
validation: epoch: 17, nrg_mae: 0.6607025861740112 meV/atom, force_mae: 5.177394866943359 meV/AA, max fae: 203.0233154296875 meV/AA 
validation: epoch: 18, nrg_mae: 0.6015300750732422 meV/atom, force_mae: 5.014711380004883 meV/AA, max fae: 206.76016235351562 meV/AA 
validation: epoch: 19, nrg_mae: 0.615699827671051 meV/atom, force_mae: 4.914549827575684 meV/AA, max fae: 208.7184600830078 meV/AA 
validation: epoch: 20, nrg_mae: 0.5739927291870117 meV/atom, force_mae: 5.01644229888916 meV/AA, max fae: 206.66453552246094 meV/AA 
validation: epoch: 21, nrg_mae: 0.5749004483222961 meV/atom, force_mae: 4.914636611938477 meV/AA, max fae: 207.6966094970703 meV/AA 
validation: epoch: 22, nrg_mae: 0.5686159133911133 meV/atom, force_mae: 4.946813583374023 meV/AA, max fae: 205.92520141601562 meV/AA 
validation: epoch: 23, nrg_mae: 0.5520805716514587 meV/atom, force_mae: 4.963741302490234 meV/AA, max fae: 198.0743865966797 meV/AA 
validation: epoch: 24, nrg_mae: 0.5447268486022949 meV/atom, force_mae: 4.744534015655518 meV/AA, max fae: 192.12937927246094 meV/AA 
validation: epoch: 25, nrg_mae: 0.5537222027778625 meV/atom, force_mae: 4.723099708557129 meV/AA, max fae: 191.14295959472656 meV/AA 
validation: epoch: 26, nrg_mae: 0.4834979772567749 meV/atom, force_mae: 4.7220001220703125 meV/AA, max fae: 175.36521911621094 meV/AA 
validation: epoch: 27, nrg_mae: 0.4085612893104553 meV/atom, force_mae: 4.580681800842285 meV/AA, max fae: 163.13137817382812 meV/AA 
validation: epoch: 28, nrg_mae: 0.3899671137332916 meV/atom, force_mae: 4.506399154663086 meV/AA, max fae: 149.85960388183594 meV/AA 
validation: epoch: 29, nrg_mae: 0.37485235929489136 meV/atom, force_mae: 4.470538139343262 meV/AA, max fae: 147.74229431152344 meV/AA 
validation: epoch: 30, nrg_mae: 0.3782784044742584 meV/atom, force_mae: 4.361852169036865 meV/AA, max fae: 148.03268432617188 meV/AA 
validation: epoch: 31, nrg_mae: 0.39543458819389343 meV/atom, force_mae: 4.3522210121154785 meV/AA, max fae: 150.79409790039062 meV/AA 
validation: epoch: 32, nrg_mae: 0.41014575958251953 meV/atom, force_mae: 4.360164642333984 meV/AA, max fae: 146.9565887451172 meV/AA 
validation: epoch: 33, nrg_mae: 0.35257264971733093 meV/atom, force_mae: 4.227619171142578 meV/AA, max fae: 143.30657958984375 meV/AA 
validation: epoch: 34, nrg_mae: 0.38127601146698 meV/atom, force_mae: 4.129549980163574 meV/AA, max fae: 146.72750854492188 meV/AA 
validation: epoch: 35, nrg_mae: 0.3610365092754364 meV/atom, force_mae: 4.116518974304199 meV/AA, max fae: 145.2864532470703 meV/AA 
validation: epoch: 36, nrg_mae: 0.3758333623409271 meV/atom, force_mae: 4.109500408172607 meV/AA, max fae: 150.21241760253906 meV/AA 
validation: epoch: 37, nrg_mae: 0.39107972383499146 meV/atom, force_mae: 4.054436206817627 meV/AA, max fae: 149.27476501464844 meV/AA 
validation: epoch: 38, nrg_mae: 0.3278106451034546 meV/atom, force_mae: 4.128833770751953 meV/AA, max fae: 134.7141876220703 meV/AA 
validation: epoch: 39, nrg_mae: 0.255900114774704 meV/atom, force_mae: 3.9022305011749268 meV/AA, max fae: 119.03080749511719 meV/AA 
