validation: epoch: 0, nrg_mae: 0.9723777770996094 meV/atom, force_mae: 7.1719255447387695 meV/AA, max fae: 265.195556640625 meV/AA 
validation: epoch: 1, nrg_mae: 0.9467812776565552 meV/atom, force_mae: 6.214007377624512 meV/AA, max fae: 246.5822296142578 meV/AA 
validation: epoch: 2, nrg_mae: 0.8023207187652588 meV/atom, force_mae: 5.862440586090088 meV/AA, max fae: 242.78880310058594 meV/AA 
validation: epoch: 3, nrg_mae: 0.7644432187080383 meV/atom, force_mae: 5.538129806518555 meV/AA, max fae: 237.73072814941406 meV/AA 
validation: epoch: 4, nrg_mae: 0.7463867664337158 meV/atom, force_mae: 5.573592662811279 meV/AA, max fae: 232.25811767578125 meV/AA 
validation: epoch: 5, nrg_mae: 0.7414420247077942 meV/atom, force_mae: 5.31202507019043 meV/AA, max fae: 237.48162841796875 meV/AA 
validation: epoch: 6, nrg_mae: 0.7337853312492371 meV/atom, force_mae: 5.306114673614502 meV/AA, max fae: 235.2450408935547 meV/AA 
validation: epoch: 7, nrg_mae: 0.7071097493171692 meV/atom, force_mae: 5.2935261726379395 meV/AA, max fae: 216.3500213623047 meV/AA 
validation: epoch: 8, nrg_mae: 0.7038910984992981 meV/atom, force_mae: 5.329644203186035 meV/AA, max fae: 219.47329711914062 meV/AA 
validation: epoch: 9, nrg_mae: 0.7266501784324646 meV/atom, force_mae: 5.286866664886475 meV/AA, max fae: 215.14910888671875 meV/AA 
validation: epoch: 10, nrg_mae: 0.6465477347373962 meV/atom, force_mae: 5.233155727386475 meV/AA, max fae: 213.03677368164062 meV/AA 
validation: epoch: 11, nrg_mae: 0.6231777667999268 meV/atom, force_mae: 5.316713809967041 meV/AA, max fae: 199.0405731201172 meV/AA 
validation: epoch: 12, nrg_mae: 0.6221222281455994 meV/atom, force_mae: 5.300886631011963 meV/AA, max fae: 201.6067657470703 meV/AA 
validation: epoch: 13, nrg_mae: 0.6115175485610962 meV/atom, force_mae: 5.238223552703857 meV/AA, max fae: 199.1354217529297 meV/AA 
validation: epoch: 14, nrg_mae: 0.6070460081100464 meV/atom, force_mae: 5.234371662139893 meV/AA, max fae: 200.30264282226562 meV/AA 
validation: epoch: 15, nrg_mae: 0.6014381647109985 meV/atom, force_mae: 5.138223171234131 meV/AA, max fae: 197.7268829345703 meV/AA 
validation: epoch: 16, nrg_mae: 0.5808224081993103 meV/atom, force_mae: 5.147241115570068 meV/AA, max fae: 197.19412231445312 meV/AA 
validation: epoch: 17, nrg_mae: 0.5453775525093079 meV/atom, force_mae: 5.144073009490967 meV/AA, max fae: 186.58834838867188 meV/AA 
validation: epoch: 18, nrg_mae: 0.5535222291946411 meV/atom, force_mae: 5.082326412200928 meV/AA, max fae: 185.6163330078125 meV/AA 
validation: epoch: 19, nrg_mae: 0.5205373167991638 meV/atom, force_mae: 4.853179931640625 meV/AA, max fae: 173.65736389160156 meV/AA 
validation: epoch: 20, nrg_mae: 0.5582036972045898 meV/atom, force_mae: 4.716739654541016 meV/AA, max fae: 177.62014770507812 meV/AA 
validation: epoch: 21, nrg_mae: 0.5073572397232056 meV/atom, force_mae: 4.698541641235352 meV/AA, max fae: 174.6510772705078 meV/AA 
validation: epoch: 22, nrg_mae: 0.5241943001747131 meV/atom, force_mae: 4.725418567657471 meV/AA, max fae: 169.77455139160156 meV/AA 
validation: epoch: 23, nrg_mae: 0.47825896739959717 meV/atom, force_mae: 4.750855445861816 meV/AA, max fae: 162.34552001953125 meV/AA 
validation: epoch: 24, nrg_mae: 0.4594971835613251 meV/atom, force_mae: 4.672411918640137 meV/AA, max fae: 157.27249145507812 meV/AA 
validation: epoch: 25, nrg_mae: 0.46105435490608215 meV/atom, force_mae: 4.640154838562012 meV/AA, max fae: 161.98342895507812 meV/AA 
validation: epoch: 26, nrg_mae: 0.41944780945777893 meV/atom, force_mae: 4.636155128479004 meV/AA, max fae: 159.01699829101562 meV/AA 
validation: epoch: 27, nrg_mae: 0.4324714243412018 meV/atom, force_mae: 4.463890075683594 meV/AA, max fae: 166.84544372558594 meV/AA 
validation: epoch: 28, nrg_mae: 0.43159225583076477 meV/atom, force_mae: 4.4699578285217285 meV/AA, max fae: 169.98033142089844 meV/AA 
validation: epoch: 29, nrg_mae: 0.4211055636405945 meV/atom, force_mae: 4.473209857940674 meV/AA, max fae: 166.66812133789062 meV/AA 
validation: epoch: 30, nrg_mae: 0.4178248345851898 meV/atom, force_mae: 4.467373371124268 meV/AA, max fae: 156.96420288085938 meV/AA 
validation: epoch: 31, nrg_mae: 0.3908289074897766 meV/atom, force_mae: 4.510677814483643 meV/AA, max fae: 150.48077392578125 meV/AA 
validation: epoch: 32, nrg_mae: 0.3181273639202118 meV/atom, force_mae: 4.610957145690918 meV/AA, max fae: 136.82049560546875 meV/AA 
validation: epoch: 33, nrg_mae: 0.3571522831916809 meV/atom, force_mae: 4.270319938659668 meV/AA, max fae: 132.29623413085938 meV/AA 
validation: epoch: 34, nrg_mae: 0.3280627131462097 meV/atom, force_mae: 4.279861927032471 meV/AA, max fae: 132.14749145507812 meV/AA 
validation: epoch: 35, nrg_mae: 0.2916281521320343 meV/atom, force_mae: 4.244716167449951 meV/AA, max fae: 124.19158935546875 meV/AA 
validation: epoch: 36, nrg_mae: 0.2996101975440979 meV/atom, force_mae: 4.239761829376221 meV/AA, max fae: 121.15933990478516 meV/AA 
validation: epoch: 37, nrg_mae: 0.3040395677089691 meV/atom, force_mae: 4.229080677032471 meV/AA, max fae: 117.85982513427734 meV/AA 
validation: epoch: 38, nrg_mae: 0.2995319664478302 meV/atom, force_mae: 4.2130961418151855 meV/AA, max fae: 119.15126037597656 meV/AA 
validation: epoch: 39, nrg_mae: 0.28757503628730774 meV/atom, force_mae: 4.216676235198975 meV/AA, max fae: 113.125732421875 meV/AA 
validation: epoch: 40, nrg_mae: 0.2689845860004425 meV/atom, force_mae: 4.1813764572143555 meV/AA, max fae: 112.3188247680664 meV/AA 
validation: epoch: 41, nrg_mae: 0.26505687832832336 meV/atom, force_mae: 4.155827045440674 meV/AA, max fae: 115.42894744873047 meV/AA 
validation: epoch: 42, nrg_mae: 0.2851722240447998 meV/atom, force_mae: 4.13617467880249 meV/AA, max fae: 115.68677520751953 meV/AA 
validation: epoch: 43, nrg_mae: 0.26996931433677673 meV/atom, force_mae: 4.1109232902526855 meV/AA, max fae: 112.21513366699219 meV/AA 
validation: epoch: 44, nrg_mae: 0.273955374956131 meV/atom, force_mae: 4.087849140167236 meV/AA, max fae: 113.02445220947266 meV/AA 
validation: epoch: 45, nrg_mae: 0.2622430622577667 meV/atom, force_mae: 4.087093353271484 meV/AA, max fae: 112.5303726196289 meV/AA 
