validation: epoch: 0, nrg_mae: 0.7585647106170654 meV/atom, force_mae: 6.921539306640625 meV/AA, max fae: 255.73251342773438 meV/AA 
validation: epoch: 1, nrg_mae: 0.791497528553009 meV/atom, force_mae: 5.506679058074951 meV/AA, max fae: 247.01400756835938 meV/AA 
validation: epoch: 2, nrg_mae: 0.7947025299072266 meV/atom, force_mae: 5.512362957000732 meV/AA, max fae: 233.7255401611328 meV/AA 
validation: epoch: 3, nrg_mae: 0.7475714087486267 meV/atom, force_mae: 5.350429058074951 meV/AA, max fae: 233.70828247070312 meV/AA 
validation: epoch: 4, nrg_mae: 0.7366910576820374 meV/atom, force_mae: 5.290585994720459 meV/AA, max fae: 240.8307342529297 meV/AA 
validation: epoch: 5, nrg_mae: 0.7313353419303894 meV/atom, force_mae: 5.382051944732666 meV/AA, max fae: 243.34754943847656 meV/AA 
validation: epoch: 6, nrg_mae: 0.6854012608528137 meV/atom, force_mae: 5.305659294128418 meV/AA, max fae: 228.01026916503906 meV/AA 
validation: epoch: 7, nrg_mae: 0.6503512263298035 meV/atom, force_mae: 5.412001609802246 meV/AA, max fae: 222.76783752441406 meV/AA 
validation: epoch: 8, nrg_mae: 0.6776899099349976 meV/atom, force_mae: 5.12770938873291 meV/AA, max fae: 208.32437133789062 meV/AA 
validation: epoch: 9, nrg_mae: 0.5606934428215027 meV/atom, force_mae: 5.188221454620361 meV/AA, max fae: 187.0625 meV/AA 
validation: epoch: 10, nrg_mae: 0.5471929907798767 meV/atom, force_mae: 5.180997371673584 meV/AA, max fae: 179.0131378173828 meV/AA 
validation: epoch: 11, nrg_mae: 0.5245904326438904 meV/atom, force_mae: 5.229435443878174 meV/AA, max fae: 175.81936645507812 meV/AA 
validation: epoch: 12, nrg_mae: 0.5178240537643433 meV/atom, force_mae: 5.004077434539795 meV/AA, max fae: 163.9513397216797 meV/AA 
validation: epoch: 13, nrg_mae: 0.49466389417648315 meV/atom, force_mae: 4.998284339904785 meV/AA, max fae: 172.56849670410156 meV/AA 
validation: epoch: 14, nrg_mae: 0.49311044812202454 meV/atom, force_mae: 4.879860877990723 meV/AA, max fae: 164.49261474609375 meV/AA 
validation: epoch: 15, nrg_mae: 0.4350394010543823 meV/atom, force_mae: 4.806131362915039 meV/AA, max fae: 156.6830596923828 meV/AA 
validation: epoch: 16, nrg_mae: 0.4411078989505768 meV/atom, force_mae: 4.693668842315674 meV/AA, max fae: 158.84503173828125 meV/AA 
validation: epoch: 17, nrg_mae: 0.4531691372394562 meV/atom, force_mae: 4.70026969909668 meV/AA, max fae: 163.010986328125 meV/AA 
validation: epoch: 18, nrg_mae: 0.45423954725265503 meV/atom, force_mae: 4.785215854644775 meV/AA, max fae: 163.32826232910156 meV/AA 
