validation: epoch: 0, nrg_mae: 1.4255568981170654 meV/atom, force_mae: 9.086666107177734 meV/AA, max fae: 274.53985595703125 meV/AA 
validation: epoch: 1, nrg_mae: 0.8030558824539185 meV/atom, force_mae: 5.65840482711792 meV/AA, max fae: 246.64639282226562 meV/AA 
validation: epoch: 2, nrg_mae: 0.7759233117103577 meV/atom, force_mae: 5.516808032989502 meV/AA, max fae: 242.37918090820312 meV/AA 
validation: epoch: 3, nrg_mae: 0.7581822872161865 meV/atom, force_mae: 5.344811916351318 meV/AA, max fae: 237.4512176513672 meV/AA 
validation: epoch: 4, nrg_mae: 0.736503541469574 meV/atom, force_mae: 5.418210983276367 meV/AA, max fae: 243.46763610839844 meV/AA 
validation: epoch: 5, nrg_mae: 0.75368332862854 meV/atom, force_mae: 5.322547912597656 meV/AA, max fae: 240.13771057128906 meV/AA 
validation: epoch: 6, nrg_mae: 0.6881939768791199 meV/atom, force_mae: 5.251142978668213 meV/AA, max fae: 229.97259521484375 meV/AA 
validation: epoch: 7, nrg_mae: 0.6687281131744385 meV/atom, force_mae: 5.3527398109436035 meV/AA, max fae: 227.8094940185547 meV/AA 
validation: epoch: 8, nrg_mae: 0.6311982870101929 meV/atom, force_mae: 5.355626106262207 meV/AA, max fae: 219.91600036621094 meV/AA 
validation: epoch: 9, nrg_mae: 0.6383073925971985 meV/atom, force_mae: 5.075933933258057 meV/AA, max fae: 210.734130859375 meV/AA 
validation: epoch: 10, nrg_mae: 0.61536705493927 meV/atom, force_mae: 5.137673854827881 meV/AA, max fae: 199.1295166015625 meV/AA 
validation: epoch: 11, nrg_mae: 0.5759782791137695 meV/atom, force_mae: 5.158262729644775 meV/AA, max fae: 191.86074829101562 meV/AA 
validation: epoch: 12, nrg_mae: 0.5107981562614441 meV/atom, force_mae: 5.109219551086426 meV/AA, max fae: 185.17364501953125 meV/AA 
validation: epoch: 13, nrg_mae: 0.4716739058494568 meV/atom, force_mae: 4.846794128417969 meV/AA, max fae: 179.6971435546875 meV/AA 
