validation: epoch: 0, nrg_mae: 1.9998152256011963 meV/atom, force_mae: 11.860459327697754 meV/AA, max fae: 250.05838012695312 meV/AA 
validation: epoch: 1, nrg_mae: 0.8098321557044983 meV/atom, force_mae: 5.732860088348389 meV/AA, max fae: 239.70892333984375 meV/AA 
validation: epoch: 2, nrg_mae: 0.8021705150604248 meV/atom, force_mae: 5.490960121154785 meV/AA, max fae: 238.85906982421875 meV/AA 
validation: epoch: 3, nrg_mae: 0.866451621055603 meV/atom, force_mae: 5.425508975982666 meV/AA, max fae: 239.7129364013672 meV/AA 
validation: epoch: 4, nrg_mae: 0.8300070762634277 meV/atom, force_mae: 5.475520610809326 meV/AA, max fae: 238.9881591796875 meV/AA 
validation: epoch: 5, nrg_mae: 0.7657619714736938 meV/atom, force_mae: 5.408474922180176 meV/AA, max fae: 238.8567657470703 meV/AA 
validation: epoch: 6, nrg_mae: 0.7610097527503967 meV/atom, force_mae: 5.331447601318359 meV/AA, max fae: 240.47183227539062 meV/AA 
validation: epoch: 7, nrg_mae: 0.7526924014091492 meV/atom, force_mae: 5.414201259613037 meV/AA, max fae: 240.44639587402344 meV/AA 
validation: epoch: 8, nrg_mae: 0.7581549286842346 meV/atom, force_mae: 5.398147106170654 meV/AA, max fae: 241.16238403320312 meV/AA 
validation: epoch: 9, nrg_mae: 0.7501430511474609 meV/atom, force_mae: 5.443732738494873 meV/AA, max fae: 241.16015625 meV/AA 
validation: epoch: 10, nrg_mae: 0.698837161064148 meV/atom, force_mae: 5.261581897735596 meV/AA, max fae: 235.72982788085938 meV/AA 
validation: epoch: 11, nrg_mae: 0.7055724859237671 meV/atom, force_mae: 5.207873821258545 meV/AA, max fae: 230.7736358642578 meV/AA 
validation: epoch: 12, nrg_mae: 0.7175840139389038 meV/atom, force_mae: 5.1973419189453125 meV/AA, max fae: 231.78079223632812 meV/AA 
validation: epoch: 13, nrg_mae: 0.7278497219085693 meV/atom, force_mae: 5.403537273406982 meV/AA, max fae: 230.90945434570312 meV/AA 
validation: epoch: 14, nrg_mae: 0.7002751231193542 meV/atom, force_mae: 5.450961589813232 meV/AA, max fae: 231.42111206054688 meV/AA 
validation: epoch: 15, nrg_mae: 0.7232961654663086 meV/atom, force_mae: 5.272241115570068 meV/AA, max fae: 227.24179077148438 meV/AA 
validation: epoch: 16, nrg_mae: 0.7036440372467041 meV/atom, force_mae: 5.27750825881958 meV/AA, max fae: 212.26734924316406 meV/AA 
validation: epoch: 17, nrg_mae: 0.6093407869338989 meV/atom, force_mae: 5.303723335266113 meV/AA, max fae: 199.37828063964844 meV/AA 
validation: epoch: 18, nrg_mae: 0.6069366931915283 meV/atom, force_mae: 5.2569732666015625 meV/AA, max fae: 197.5277862548828 meV/AA 
validation: epoch: 19, nrg_mae: 0.6136608719825745 meV/atom, force_mae: 5.190462112426758 meV/AA, max fae: 198.71388244628906 meV/AA 
validation: epoch: 20, nrg_mae: 0.5548919439315796 meV/atom, force_mae: 5.2687668800354 meV/AA, max fae: 191.57240295410156 meV/AA 
validation: epoch: 21, nrg_mae: 0.5517800450325012 meV/atom, force_mae: 5.1672682762146 meV/AA, max fae: 186.2606658935547 meV/AA 
validation: epoch: 22, nrg_mae: 0.5941142439842224 meV/atom, force_mae: 4.919360160827637 meV/AA, max fae: 202.26510620117188 meV/AA 
validation: epoch: 23, nrg_mae: 0.554374098777771 meV/atom, force_mae: 4.862381458282471 meV/AA, max fae: 199.85377502441406 meV/AA 
validation: epoch: 24, nrg_mae: 0.5186920166015625 meV/atom, force_mae: 4.904902458190918 meV/AA, max fae: 190.71658325195312 meV/AA 
validation: epoch: 25, nrg_mae: 0.43493881821632385 meV/atom, force_mae: 4.525125503540039 meV/AA, max fae: 167.55291748046875 meV/AA 
validation: epoch: 26, nrg_mae: 0.4883210062980652 meV/atom, force_mae: 4.4850077629089355 meV/AA, max fae: 168.23707580566406 meV/AA 
validation: epoch: 27, nrg_mae: 0.48457086086273193 meV/atom, force_mae: 4.543362617492676 meV/AA, max fae: 173.17897033691406 meV/AA 
validation: epoch: 28, nrg_mae: 0.45483434200286865 meV/atom, force_mae: 4.594295978546143 meV/AA, max fae: 168.93765258789062 meV/AA 
