validation: epoch: 0, nrg_mae: 0.7906245589256287 meV/atom, force_mae: 7.4843621253967285 meV/AA, max fae: 234.6643829345703 meV/AA 
validation: epoch: 1, nrg_mae: 0.7568250298500061 meV/atom, force_mae: 5.428395748138428 meV/AA, max fae: 229.6343536376953 meV/AA 
validation: epoch: 2, nrg_mae: 0.7464562654495239 meV/atom, force_mae: 5.311319828033447 meV/AA, max fae: 226.77163696289062 meV/AA 
validation: epoch: 3, nrg_mae: 0.7237593531608582 meV/atom, force_mae: 5.2655134201049805 meV/AA, max fae: 222.4973602294922 meV/AA 
validation: epoch: 4, nrg_mae: 0.7598313093185425 meV/atom, force_mae: 5.264445781707764 meV/AA, max fae: 225.7692413330078 meV/AA 
validation: epoch: 5, nrg_mae: 0.69475919008255 meV/atom, force_mae: 5.306269645690918 meV/AA, max fae: 225.86146545410156 meV/AA 
validation: epoch: 6, nrg_mae: 0.6590907573699951 meV/atom, force_mae: 5.288602828979492 meV/AA, max fae: 221.33189392089844 meV/AA 
validation: epoch: 7, nrg_mae: 0.6848735213279724 meV/atom, force_mae: 5.318997383117676 meV/AA, max fae: 218.714111328125 meV/AA 
validation: epoch: 8, nrg_mae: 0.7061424255371094 meV/atom, force_mae: 5.168132781982422 meV/AA, max fae: 218.7350311279297 meV/AA 
validation: epoch: 9, nrg_mae: 0.6586785316467285 meV/atom, force_mae: 5.251400470733643 meV/AA, max fae: 218.97642517089844 meV/AA 
validation: epoch: 10, nrg_mae: 0.6833001971244812 meV/atom, force_mae: 5.336627960205078 meV/AA, max fae: 221.87562561035156 meV/AA 
validation: epoch: 11, nrg_mae: 0.6639311909675598 meV/atom, force_mae: 5.314929962158203 meV/AA, max fae: 222.95559692382812 meV/AA 
validation: epoch: 12, nrg_mae: 0.620339035987854 meV/atom, force_mae: 5.243992805480957 meV/AA, max fae: 209.8470458984375 meV/AA 
validation: epoch: 13, nrg_mae: 0.6575981974601746 meV/atom, force_mae: 5.283339500427246 meV/AA, max fae: 196.1572723388672 meV/AA 
validation: epoch: 14, nrg_mae: 0.5470787286758423 meV/atom, force_mae: 5.251351833343506 meV/AA, max fae: 188.31378173828125 meV/AA 
validation: epoch: 15, nrg_mae: 0.5389713048934937 meV/atom, force_mae: 5.1934919357299805 meV/AA, max fae: 193.45870971679688 meV/AA 
validation: epoch: 16, nrg_mae: 0.4985928535461426 meV/atom, force_mae: 4.944971084594727 meV/AA, max fae: 180.57591247558594 meV/AA 
validation: epoch: 17, nrg_mae: 0.5174502730369568 meV/atom, force_mae: 4.8532538414001465 meV/AA, max fae: 185.4673309326172 meV/AA 
validation: epoch: 18, nrg_mae: 0.489111989736557 meV/atom, force_mae: 4.775359153747559 meV/AA, max fae: 178.99835205078125 meV/AA 
validation: epoch: 19, nrg_mae: 0.5923410058021545 meV/atom, force_mae: 4.758660793304443 meV/AA, max fae: 179.14413452148438 meV/AA 
validation: epoch: 20, nrg_mae: 0.4867948591709137 meV/atom, force_mae: 4.485866546630859 meV/AA, max fae: 176.3245849609375 meV/AA 
validation: epoch: 21, nrg_mae: 0.4455769956111908 meV/atom, force_mae: 4.368180751800537 meV/AA, max fae: 172.63558959960938 meV/AA 
validation: epoch: 22, nrg_mae: 0.42542940378189087 meV/atom, force_mae: 4.295524597167969 meV/AA, max fae: 176.77517700195312 meV/AA 
validation: epoch: 23, nrg_mae: 0.4388764500617981 meV/atom, force_mae: 4.244400501251221 meV/AA, max fae: 178.3478546142578 meV/AA 
validation: epoch: 24, nrg_mae: 0.43288493156433105 meV/atom, force_mae: 4.249039649963379 meV/AA, max fae: 176.27200317382812 meV/AA 
validation: epoch: 25, nrg_mae: 0.4442383944988251 meV/atom, force_mae: 4.215514659881592 meV/AA, max fae: 176.08367919921875 meV/AA 
validation: epoch: 26, nrg_mae: 0.4006003439426422 meV/atom, force_mae: 4.132229804992676 meV/AA, max fae: 164.54017639160156 meV/AA 
validation: epoch: 27, nrg_mae: 0.3462173044681549 meV/atom, force_mae: 4.1959757804870605 meV/AA, max fae: 153.8010711669922 meV/AA 
validation: epoch: 28, nrg_mae: 0.35599493980407715 meV/atom, force_mae: 4.177077770233154 meV/AA, max fae: 155.58636474609375 meV/AA 
validation: epoch: 29, nrg_mae: 0.371299684047699 meV/atom, force_mae: 4.133415699005127 meV/AA, max fae: 156.36676025390625 meV/AA 
validation: epoch: 30, nrg_mae: 0.34478679299354553 meV/atom, force_mae: 4.109679222106934 meV/AA, max fae: 158.9586639404297 meV/AA 
validation: epoch: 31, nrg_mae: 0.38453438878059387 meV/atom, force_mae: 4.013260364532471 meV/AA, max fae: 167.9078369140625 meV/AA 
validation: epoch: 32, nrg_mae: 0.3646078109741211 meV/atom, force_mae: 4.000412940979004 meV/AA, max fae: 168.2113037109375 meV/AA 
validation: epoch: 33, nrg_mae: 0.3255618214607239 meV/atom, force_mae: 3.8108785152435303 meV/AA, max fae: 146.86172485351562 meV/AA 
validation: epoch: 34, nrg_mae: 0.30242031812667847 meV/atom, force_mae: 3.845832109451294 meV/AA, max fae: 144.84500122070312 meV/AA 
validation: epoch: 35, nrg_mae: 0.2742571234703064 meV/atom, force_mae: 3.8150036334991455 meV/AA, max fae: 136.96852111816406 meV/AA 
validation: epoch: 36, nrg_mae: 0.28226399421691895 meV/atom, force_mae: 3.843005657196045 meV/AA, max fae: 134.73757934570312 meV/AA 
validation: epoch: 37, nrg_mae: 0.30340874195098877 meV/atom, force_mae: 3.7455103397369385 meV/AA, max fae: 134.6899871826172 meV/AA 
validation: epoch: 38, nrg_mae: 0.2941638231277466 meV/atom, force_mae: 3.7434229850769043 meV/AA, max fae: 135.1634521484375 meV/AA 
validation: epoch: 39, nrg_mae: 0.2722057104110718 meV/atom, force_mae: 3.6855151653289795 meV/AA, max fae: 134.7306365966797 meV/AA 
validation: epoch: 40, nrg_mae: 0.26240074634552 meV/atom, force_mae: 3.7415859699249268 meV/AA, max fae: 129.55642700195312 meV/AA 
