validation: epoch: 0, nrg_mae: 0.792086124420166 meV/atom, force_mae: 5.8666582107543945 meV/AA, max fae: 240.72064208984375 meV/AA 
validation: epoch: 1, nrg_mae: 0.766730546951294 meV/atom, force_mae: 5.442078590393066 meV/AA, max fae: 234.688232421875 meV/AA 
validation: epoch: 2, nrg_mae: 0.7382432818412781 meV/atom, force_mae: 5.478104591369629 meV/AA, max fae: 233.76353454589844 meV/AA 
validation: epoch: 3, nrg_mae: 0.7208213210105896 meV/atom, force_mae: 5.435032844543457 meV/AA, max fae: 229.6431884765625 meV/AA 
validation: epoch: 4, nrg_mae: 0.7263732552528381 meV/atom, force_mae: 5.305856704711914 meV/AA, max fae: 233.60333251953125 meV/AA 
validation: epoch: 5, nrg_mae: 0.7066540718078613 meV/atom, force_mae: 5.305178165435791 meV/AA, max fae: 235.30909729003906 meV/AA 
validation: epoch: 6, nrg_mae: 0.7124630212783813 meV/atom, force_mae: 5.3080153465271 meV/AA, max fae: 236.03099060058594 meV/AA 
validation: epoch: 7, nrg_mae: 0.6736640930175781 meV/atom, force_mae: 5.269087314605713 meV/AA, max fae: 229.2992401123047 meV/AA 
validation: epoch: 8, nrg_mae: 0.6730780005455017 meV/atom, force_mae: 5.175548076629639 meV/AA, max fae: 225.66122436523438 meV/AA 
validation: epoch: 9, nrg_mae: 0.6968428492546082 meV/atom, force_mae: 5.122529983520508 meV/AA, max fae: 218.91893005371094 meV/AA 
validation: epoch: 10, nrg_mae: 0.6906526684761047 meV/atom, force_mae: 5.216608047485352 meV/AA, max fae: 217.85667419433594 meV/AA 
validation: epoch: 11, nrg_mae: 0.6726471185684204 meV/atom, force_mae: 5.260317325592041 meV/AA, max fae: 215.60433959960938 meV/AA 
validation: epoch: 12, nrg_mae: 0.687555730342865 meV/atom, force_mae: 5.173518180847168 meV/AA, max fae: 214.55828857421875 meV/AA 
validation: epoch: 13, nrg_mae: 0.627988338470459 meV/atom, force_mae: 5.105109214782715 meV/AA, max fae: 208.01747131347656 meV/AA 
validation: epoch: 14, nrg_mae: 0.6585021615028381 meV/atom, force_mae: 5.125277042388916 meV/AA, max fae: 208.43641662597656 meV/AA 
validation: epoch: 15, nrg_mae: 0.6084988713264465 meV/atom, force_mae: 5.238366603851318 meV/AA, max fae: 198.0196533203125 meV/AA 
validation: epoch: 16, nrg_mae: 0.6025135517120361 meV/atom, force_mae: 5.190424919128418 meV/AA, max fae: 193.10829162597656 meV/AA 
validation: epoch: 17, nrg_mae: 0.6280292868614197 meV/atom, force_mae: 5.140037536621094 meV/AA, max fae: 198.04042053222656 meV/AA 
validation: epoch: 18, nrg_mae: 0.6213920712471008 meV/atom, force_mae: 5.097580432891846 meV/AA, max fae: 196.109130859375 meV/AA 
validation: epoch: 19, nrg_mae: 0.5916779041290283 meV/atom, force_mae: 5.089070796966553 meV/AA, max fae: 198.565185546875 meV/AA 
validation: epoch: 20, nrg_mae: 0.6073216795921326 meV/atom, force_mae: 5.073497772216797 meV/AA, max fae: 189.3289031982422 meV/AA 
validation: epoch: 21, nrg_mae: 0.5872460603713989 meV/atom, force_mae: 5.044850826263428 meV/AA, max fae: 199.54222106933594 meV/AA 
validation: epoch: 22, nrg_mae: 0.5748533010482788 meV/atom, force_mae: 4.580690860748291 meV/AA, max fae: 184.75738525390625 meV/AA 
validation: epoch: 23, nrg_mae: 0.5356160402297974 meV/atom, force_mae: 4.578179359436035 meV/AA, max fae: 177.72523498535156 meV/AA 
