validation: epoch: 0, nrg_mae: 8.617363929748535 meV/atom, force_mae: 48.5086784362793 meV/AA, max fae: 1304.5457763671875 meV/AA 
validation: epoch: 1, nrg_mae: 7.556644439697266 meV/atom, force_mae: 47.39282989501953 meV/AA, max fae: 1263.715576171875 meV/AA 
validation: epoch: 2, nrg_mae: 6.832127094268799 meV/atom, force_mae: 46.677635192871094 meV/AA, max fae: 1251.7642822265625 meV/AA 
validation: epoch: 3, nrg_mae: 5.6745500564575195 meV/atom, force_mae: 45.12117385864258 meV/AA, max fae: 1273.5601806640625 meV/AA 
validation: epoch: 4, nrg_mae: 5.324463367462158 meV/atom, force_mae: 43.883827209472656 meV/AA, max fae: 1220.6680908203125 meV/AA 
validation: epoch: 5, nrg_mae: 4.678708553314209 meV/atom, force_mae: 42.47626876831055 meV/AA, max fae: 1232.1796875 meV/AA 
validation: epoch: 6, nrg_mae: 4.044863224029541 meV/atom, force_mae: 41.47468948364258 meV/AA, max fae: 1203.244384765625 meV/AA 
validation: epoch: 7, nrg_mae: 4.475409030914307 meV/atom, force_mae: 40.49806594848633 meV/AA, max fae: 1119.4779052734375 meV/AA 
validation: epoch: 8, nrg_mae: 4.267956256866455 meV/atom, force_mae: 39.64143753051758 meV/AA, max fae: 1072.2119140625 meV/AA 
validation: epoch: 9, nrg_mae: 4.217167854309082 meV/atom, force_mae: 39.055999755859375 meV/AA, max fae: 996.3662719726562 meV/AA 
validation: epoch: 10, nrg_mae: 4.118127346038818 meV/atom, force_mae: 38.070899963378906 meV/AA, max fae: 980.1635131835938 meV/AA 
validation: epoch: 11, nrg_mae: 3.8834049701690674 meV/atom, force_mae: 37.38925552368164 meV/AA, max fae: 995.5863037109375 meV/AA 
validation: epoch: 12, nrg_mae: 4.116440773010254 meV/atom, force_mae: 36.641929626464844 meV/AA, max fae: 980.8090209960938 meV/AA 
validation: epoch: 13, nrg_mae: 4.115100383758545 meV/atom, force_mae: 36.23648452758789 meV/AA, max fae: 934.07763671875 meV/AA 
validation: epoch: 14, nrg_mae: 4.128726482391357 meV/atom, force_mae: 35.79806137084961 meV/AA, max fae: 853.4974975585938 meV/AA 
validation: epoch: 15, nrg_mae: 3.7915451526641846 meV/atom, force_mae: 35.31715393066406 meV/AA, max fae: 820.3675537109375 meV/AA 
validation: epoch: 16, nrg_mae: 3.685648202896118 meV/atom, force_mae: 34.87413787841797 meV/AA, max fae: 808.4071044921875 meV/AA 
validation: epoch: 17, nrg_mae: 4.056963920593262 meV/atom, force_mae: 34.30950927734375 meV/AA, max fae: 818.7907104492188 meV/AA 
validation: epoch: 18, nrg_mae: 4.235081672668457 meV/atom, force_mae: 33.97172546386719 meV/AA, max fae: 809.8800659179688 meV/AA 
validation: epoch: 19, nrg_mae: 3.9590742588043213 meV/atom, force_mae: 33.505489349365234 meV/AA, max fae: 782.9767456054688 meV/AA 
validation: epoch: 20, nrg_mae: 3.7635128498077393 meV/atom, force_mae: 33.22966003417969 meV/AA, max fae: 745.4736328125 meV/AA 
validation: epoch: 21, nrg_mae: 3.8759336471557617 meV/atom, force_mae: 32.953407287597656 meV/AA, max fae: 725.138916015625 meV/AA 
validation: epoch: 22, nrg_mae: 3.6931986808776855 meV/atom, force_mae: 32.63426971435547 meV/AA, max fae: 719.1287231445312 meV/AA 
validation: epoch: 23, nrg_mae: 3.7732138633728027 meV/atom, force_mae: 32.22422790527344 meV/AA, max fae: 680.1649169921875 meV/AA 
validation: epoch: 24, nrg_mae: 3.6841557025909424 meV/atom, force_mae: 31.801115036010742 meV/AA, max fae: 696.3618774414062 meV/AA 
validation: epoch: 25, nrg_mae: 3.5257890224456787 meV/atom, force_mae: 31.56355857849121 meV/AA, max fae: 700.7818603515625 meV/AA 
validation: epoch: 26, nrg_mae: 3.1937344074249268 meV/atom, force_mae: 31.134523391723633 meV/AA, max fae: 670.1185913085938 meV/AA 
validation: epoch: 27, nrg_mae: 3.2822721004486084 meV/atom, force_mae: 30.71063232421875 meV/AA, max fae: 663.3772583007812 meV/AA 
validation: epoch: 28, nrg_mae: 3.04276180267334 meV/atom, force_mae: 30.333572387695312 meV/AA, max fae: 656.919189453125 meV/AA 
validation: epoch: 29, nrg_mae: 2.939077377319336 meV/atom, force_mae: 29.810985565185547 meV/AA, max fae: 658.378173828125 meV/AA 
validation: epoch: 30, nrg_mae: 2.7760097980499268 meV/atom, force_mae: 29.50076675415039 meV/AA, max fae: 662.8740844726562 meV/AA 
validation: epoch: 31, nrg_mae: 2.7165169715881348 meV/atom, force_mae: 29.094104766845703 meV/AA, max fae: 653.013671875 meV/AA 
validation: epoch: 32, nrg_mae: 2.7554900646209717 meV/atom, force_mae: 28.73208236694336 meV/AA, max fae: 618.6629028320312 meV/AA 
validation: epoch: 33, nrg_mae: 2.6835951805114746 meV/atom, force_mae: 28.362316131591797 meV/AA, max fae: 618.7565307617188 meV/AA 
validation: epoch: 34, nrg_mae: 2.8136520385742188 meV/atom, force_mae: 28.150447845458984 meV/AA, max fae: 623.651611328125 meV/AA 
validation: epoch: 35, nrg_mae: 2.6984386444091797 meV/atom, force_mae: 27.77377700805664 meV/AA, max fae: 621.96728515625 meV/AA 
validation: epoch: 36, nrg_mae: 2.73188853263855 meV/atom, force_mae: 27.54932403564453 meV/AA, max fae: 614.5752563476562 meV/AA 
validation: epoch: 37, nrg_mae: 2.761390209197998 meV/atom, force_mae: 27.30362892150879 meV/AA, max fae: 594.9577026367188 meV/AA 
validation: epoch: 38, nrg_mae: 2.662992238998413 meV/atom, force_mae: 27.047693252563477 meV/AA, max fae: 587.0982666015625 meV/AA 
validation: epoch: 39, nrg_mae: 2.6358282566070557 meV/atom, force_mae: 26.80154800415039 meV/AA, max fae: 587.2591552734375 meV/AA 
