validation: epoch: 0, nrg_mae: 9.480036735534668 meV/atom, force_mae: 49.4542236328125 meV/AA, max fae: 1304.1168212890625 meV/AA 
validation: epoch: 1, nrg_mae: 6.8177809715271 meV/atom, force_mae: 47.8565673828125 meV/AA, max fae: 1252.658935546875 meV/AA 
validation: epoch: 2, nrg_mae: 6.067988395690918 meV/atom, force_mae: 46.5670280456543 meV/AA, max fae: 1266.89990234375 meV/AA 
validation: epoch: 3, nrg_mae: 6.276310443878174 meV/atom, force_mae: 44.66695022583008 meV/AA, max fae: 1309.283447265625 meV/AA 
validation: epoch: 4, nrg_mae: 5.270784854888916 meV/atom, force_mae: 42.85426712036133 meV/AA, max fae: 1307.2978515625 meV/AA 
validation: epoch: 5, nrg_mae: 4.716421604156494 meV/atom, force_mae: 41.76605224609375 meV/AA, max fae: 1323.38134765625 meV/AA 
validation: epoch: 6, nrg_mae: 4.4954118728637695 meV/atom, force_mae: 40.47925567626953 meV/AA, max fae: 1279.4925537109375 meV/AA 
validation: epoch: 7, nrg_mae: 4.6644439697265625 meV/atom, force_mae: 39.65816116333008 meV/AA, max fae: 1216.912353515625 meV/AA 
validation: epoch: 8, nrg_mae: 4.474859714508057 meV/atom, force_mae: 38.77157211303711 meV/AA, max fae: 1143.824462890625 meV/AA 
validation: epoch: 9, nrg_mae: 3.9713656902313232 meV/atom, force_mae: 38.21774673461914 meV/AA, max fae: 1011.8419189453125 meV/AA 
validation: epoch: 10, nrg_mae: 3.6909220218658447 meV/atom, force_mae: 37.3140869140625 meV/AA, max fae: 1047.292724609375 meV/AA 
validation: epoch: 11, nrg_mae: 3.8206892013549805 meV/atom, force_mae: 36.565269470214844 meV/AA, max fae: 1032.9981689453125 meV/AA 
validation: epoch: 12, nrg_mae: 3.8767411708831787 meV/atom, force_mae: 36.146881103515625 meV/AA, max fae: 977.9743041992188 meV/AA 
validation: epoch: 13, nrg_mae: 3.691460132598877 meV/atom, force_mae: 35.53459167480469 meV/AA, max fae: 934.094970703125 meV/AA 
validation: epoch: 14, nrg_mae: 3.4712703227996826 meV/atom, force_mae: 35.11561584472656 meV/AA, max fae: 870.46826171875 meV/AA 
validation: epoch: 15, nrg_mae: 3.61212158203125 meV/atom, force_mae: 34.67375946044922 meV/AA, max fae: 879.8917846679688 meV/AA 
validation: epoch: 16, nrg_mae: 3.337783098220825 meV/atom, force_mae: 34.120845794677734 meV/AA, max fae: 873.422607421875 meV/AA 
validation: epoch: 17, nrg_mae: 3.131788730621338 meV/atom, force_mae: 33.772216796875 meV/AA, max fae: 879.2415161132812 meV/AA 
validation: epoch: 18, nrg_mae: 3.098320960998535 meV/atom, force_mae: 33.34687423706055 meV/AA, max fae: 865.5645751953125 meV/AA 
validation: epoch: 19, nrg_mae: 3.530536413192749 meV/atom, force_mae: 32.835575103759766 meV/AA, max fae: 828.7775268554688 meV/AA 
validation: epoch: 20, nrg_mae: 3.491147518157959 meV/atom, force_mae: 32.500614166259766 meV/AA, max fae: 784.9706420898438 meV/AA 
validation: epoch: 21, nrg_mae: 3.4028759002685547 meV/atom, force_mae: 32.169002532958984 meV/AA, max fae: 756.2747192382812 meV/AA 
validation: epoch: 22, nrg_mae: 3.644862651824951 meV/atom, force_mae: 31.72365951538086 meV/AA, max fae: 740.6527099609375 meV/AA 
validation: epoch: 23, nrg_mae: 3.339698076248169 meV/atom, force_mae: 31.386497497558594 meV/AA, max fae: 742.3858032226562 meV/AA 
validation: epoch: 24, nrg_mae: 3.3089487552642822 meV/atom, force_mae: 31.152551651000977 meV/AA, max fae: 717.6597290039062 meV/AA 
validation: epoch: 25, nrg_mae: 3.3434934616088867 meV/atom, force_mae: 30.835391998291016 meV/AA, max fae: 710.6015625 meV/AA 
validation: epoch: 26, nrg_mae: 3.460798978805542 meV/atom, force_mae: 30.5363712310791 meV/AA, max fae: 731.4176635742188 meV/AA 
validation: epoch: 27, nrg_mae: 3.2696378231048584 meV/atom, force_mae: 30.06263542175293 meV/AA, max fae: 738.7001342773438 meV/AA 
validation: epoch: 28, nrg_mae: 3.309520721435547 meV/atom, force_mae: 29.76445960998535 meV/AA, max fae: 764.1911010742188 meV/AA 
validation: epoch: 29, nrg_mae: 3.2927122116088867 meV/atom, force_mae: 29.384815216064453 meV/AA, max fae: 769.9251098632812 meV/AA 
validation: epoch: 30, nrg_mae: 3.0241785049438477 meV/atom, force_mae: 28.99534797668457 meV/AA, max fae: 770.311767578125 meV/AA 
validation: epoch: 31, nrg_mae: 2.988595485687256 meV/atom, force_mae: 28.822385787963867 meV/AA, max fae: 764.36279296875 meV/AA 
validation: epoch: 32, nrg_mae: 2.922203302383423 meV/atom, force_mae: 28.53589630126953 meV/AA, max fae: 757.5877075195312 meV/AA 
validation: epoch: 33, nrg_mae: 3.2684895992279053 meV/atom, force_mae: 28.200746536254883 meV/AA, max fae: 759.6908569335938 meV/AA 
validation: epoch: 34, nrg_mae: 3.080216646194458 meV/atom, force_mae: 27.893739700317383 meV/AA, max fae: 751.9494018554688 meV/AA 
validation: epoch: 35, nrg_mae: 2.9290308952331543 meV/atom, force_mae: 27.62965965270996 meV/AA, max fae: 699.8092041015625 meV/AA 
validation: epoch: 36, nrg_mae: 2.8595213890075684 meV/atom, force_mae: 27.429075241088867 meV/AA, max fae: 662.499755859375 meV/AA 
validation: epoch: 37, nrg_mae: 2.8729915618896484 meV/atom, force_mae: 27.181438446044922 meV/AA, max fae: 641.7833251953125 meV/AA 
validation: epoch: 38, nrg_mae: 2.9153618812561035 meV/atom, force_mae: 26.85956382751465 meV/AA, max fae: 650.4737548828125 meV/AA 
validation: epoch: 39, nrg_mae: 2.875584840774536 meV/atom, force_mae: 26.711151123046875 meV/AA, max fae: 638.2848510742188 meV/AA 
validation: epoch: 40, nrg_mae: 2.655413866043091 meV/atom, force_mae: 26.515647888183594 meV/AA, max fae: 629.48681640625 meV/AA 
validation: epoch: 41, nrg_mae: 2.5902886390686035 meV/atom, force_mae: 26.272443771362305 meV/AA, max fae: 618.8388061523438 meV/AA 
validation: epoch: 42, nrg_mae: 2.57474946975708 meV/atom, force_mae: 26.003515243530273 meV/AA, max fae: 600.5902099609375 meV/AA 
validation: epoch: 43, nrg_mae: 2.5491347312927246 meV/atom, force_mae: 25.860326766967773 meV/AA, max fae: 611.6004028320312 meV/AA 
validation: epoch: 44, nrg_mae: 2.571398973464966 meV/atom, force_mae: 25.68960952758789 meV/AA, max fae: 612.7528686523438 meV/AA 
validation: epoch: 45, nrg_mae: 2.6123411655426025 meV/atom, force_mae: 25.463851928710938 meV/AA, max fae: 612.3613891601562 meV/AA 
validation: epoch: 46, nrg_mae: 2.5741219520568848 meV/atom, force_mae: 25.24920082092285 meV/AA, max fae: 615.73291015625 meV/AA 
validation: epoch: 47, nrg_mae: 2.689805746078491 meV/atom, force_mae: 25.01221466064453 meV/AA, max fae: 606.3502807617188 meV/AA 
validation: epoch: 48, nrg_mae: 2.7119994163513184 meV/atom, force_mae: 24.8162899017334 meV/AA, max fae: 613.6940307617188 meV/AA 
validation: epoch: 49, nrg_mae: 2.8320541381835938 meV/atom, force_mae: 24.623899459838867 meV/AA, max fae: 604.4498291015625 meV/AA 
validation: epoch: 50, nrg_mae: 2.720714807510376 meV/atom, force_mae: 24.445871353149414 meV/AA, max fae: 599.3645629882812 meV/AA 
validation: epoch: 51, nrg_mae: 2.6856534481048584 meV/atom, force_mae: 24.245147705078125 meV/AA, max fae: 592.9403076171875 meV/AA 
validation: epoch: 52, nrg_mae: 2.785327672958374 meV/atom, force_mae: 24.0968074798584 meV/AA, max fae: 595.0875854492188 meV/AA 
