validation: epoch: 0, nrg_mae: 9.023000717163086 meV/atom, force_mae: 50.72986602783203 meV/AA, max fae: 1283.1451416015625 meV/AA 
validation: epoch: 1, nrg_mae: 6.802620887756348 meV/atom, force_mae: 47.02218246459961 meV/AA, max fae: 1250.2840576171875 meV/AA 
validation: epoch: 2, nrg_mae: 6.165158748626709 meV/atom, force_mae: 45.64191818237305 meV/AA, max fae: 1244.833251953125 meV/AA 
validation: epoch: 3, nrg_mae: 5.983970642089844 meV/atom, force_mae: 44.73646926879883 meV/AA, max fae: 1261.44921875 meV/AA 
validation: epoch: 4, nrg_mae: 5.232819080352783 meV/atom, force_mae: 43.41669845581055 meV/AA, max fae: 1219.9923095703125 meV/AA 
validation: epoch: 5, nrg_mae: 4.654477596282959 meV/atom, force_mae: 42.58608627319336 meV/AA, max fae: 1215.13671875 meV/AA 
validation: epoch: 6, nrg_mae: 4.692216873168945 meV/atom, force_mae: 41.21976852416992 meV/AA, max fae: 1212.290771484375 meV/AA 
validation: epoch: 7, nrg_mae: 4.50123929977417 meV/atom, force_mae: 40.22683334350586 meV/AA, max fae: 1173.7777099609375 meV/AA 
validation: epoch: 8, nrg_mae: 4.671878337860107 meV/atom, force_mae: 39.070526123046875 meV/AA, max fae: 1126.1961669921875 meV/AA 
validation: epoch: 9, nrg_mae: 4.169470310211182 meV/atom, force_mae: 38.5623779296875 meV/AA, max fae: 1111.629638671875 meV/AA 
validation: epoch: 10, nrg_mae: 3.9798271656036377 meV/atom, force_mae: 37.54117965698242 meV/AA, max fae: 1086.5120849609375 meV/AA 
validation: epoch: 11, nrg_mae: 3.928992986679077 meV/atom, force_mae: 36.755977630615234 meV/AA, max fae: 1103.7606201171875 meV/AA 
validation: epoch: 12, nrg_mae: 3.9639809131622314 meV/atom, force_mae: 36.195682525634766 meV/AA, max fae: 1070.15771484375 meV/AA 
validation: epoch: 13, nrg_mae: 3.8702285289764404 meV/atom, force_mae: 35.80379867553711 meV/AA, max fae: 1059.6746826171875 meV/AA 
validation: epoch: 14, nrg_mae: 3.5908570289611816 meV/atom, force_mae: 35.26523971557617 meV/AA, max fae: 1016.8281860351562 meV/AA 
validation: epoch: 15, nrg_mae: 3.410200595855713 meV/atom, force_mae: 34.6469612121582 meV/AA, max fae: 978.0504150390625 meV/AA 
validation: epoch: 16, nrg_mae: 3.4363327026367188 meV/atom, force_mae: 34.27617645263672 meV/AA, max fae: 952.447509765625 meV/AA 
validation: epoch: 17, nrg_mae: 3.5667574405670166 meV/atom, force_mae: 33.833641052246094 meV/AA, max fae: 899.171142578125 meV/AA 
validation: epoch: 18, nrg_mae: 3.788762331008911 meV/atom, force_mae: 33.29671859741211 meV/AA, max fae: 798.954833984375 meV/AA 
validation: epoch: 19, nrg_mae: 3.8087852001190186 meV/atom, force_mae: 32.96920394897461 meV/AA, max fae: 742.2086181640625 meV/AA 
validation: epoch: 20, nrg_mae: 3.8413350582122803 meV/atom, force_mae: 32.59440994262695 meV/AA, max fae: 712.23828125 meV/AA 
validation: epoch: 21, nrg_mae: 4.128270149230957 meV/atom, force_mae: 32.06298828125 meV/AA, max fae: 696.4992065429688 meV/AA 
validation: epoch: 22, nrg_mae: 3.841158866882324 meV/atom, force_mae: 31.826656341552734 meV/AA, max fae: 672.9418334960938 meV/AA 
