validation: epoch: 0, nrg_mae: 8.889656066894531 meV/atom, force_mae: 49.5191535949707 meV/AA, max fae: 1276.2593994140625 meV/AA 
validation: epoch: 1, nrg_mae: 7.464218616485596 meV/atom, force_mae: 47.58247375488281 meV/AA, max fae: 1249.5584716796875 meV/AA 
validation: epoch: 2, nrg_mae: 6.445889472961426 meV/atom, force_mae: 46.44040298461914 meV/AA, max fae: 1256.803955078125 meV/AA 
validation: epoch: 3, nrg_mae: 6.643036842346191 meV/atom, force_mae: 44.911041259765625 meV/AA, max fae: 1286.833984375 meV/AA 
validation: epoch: 4, nrg_mae: 5.9210429191589355 meV/atom, force_mae: 43.454750061035156 meV/AA, max fae: 1234.8802490234375 meV/AA 
validation: epoch: 5, nrg_mae: 4.9987406730651855 meV/atom, force_mae: 42.532066345214844 meV/AA, max fae: 1241.281982421875 meV/AA 
validation: epoch: 6, nrg_mae: 4.479252338409424 meV/atom, force_mae: 41.816009521484375 meV/AA, max fae: 1266.9844970703125 meV/AA 
validation: epoch: 7, nrg_mae: 4.824203014373779 meV/atom, force_mae: 40.403316497802734 meV/AA, max fae: 1202.6292724609375 meV/AA 
validation: epoch: 8, nrg_mae: 4.5011091232299805 meV/atom, force_mae: 39.88478088378906 meV/AA, max fae: 1137.402587890625 meV/AA 
validation: epoch: 9, nrg_mae: 4.195722579956055 meV/atom, force_mae: 38.95771408081055 meV/AA, max fae: 1030.6339111328125 meV/AA 
validation: epoch: 10, nrg_mae: 4.044482231140137 meV/atom, force_mae: 38.032386779785156 meV/AA, max fae: 970.0847778320312 meV/AA 
validation: epoch: 11, nrg_mae: 3.891592025756836 meV/atom, force_mae: 37.25175094604492 meV/AA, max fae: 942.8698120117188 meV/AA 
validation: epoch: 12, nrg_mae: 3.429544687271118 meV/atom, force_mae: 36.57246780395508 meV/AA, max fae: 967.3502197265625 meV/AA 
validation: epoch: 13, nrg_mae: 3.608762741088867 meV/atom, force_mae: 35.945152282714844 meV/AA, max fae: 934.5728149414062 meV/AA 
validation: epoch: 14, nrg_mae: 3.6532373428344727 meV/atom, force_mae: 35.19225311279297 meV/AA, max fae: 900.3726196289062 meV/AA 
validation: epoch: 15, nrg_mae: 3.514705181121826 meV/atom, force_mae: 34.83412551879883 meV/AA, max fae: 868.5380249023438 meV/AA 
validation: epoch: 16, nrg_mae: 3.5499045848846436 meV/atom, force_mae: 34.45903778076172 meV/AA, max fae: 812.70166015625 meV/AA 
validation: epoch: 17, nrg_mae: 3.449605703353882 meV/atom, force_mae: 34.10863494873047 meV/AA, max fae: 821.2797241210938 meV/AA 
validation: epoch: 18, nrg_mae: 3.482372522354126 meV/atom, force_mae: 33.60954284667969 meV/AA, max fae: 828.4453125 meV/AA 
validation: epoch: 19, nrg_mae: 3.504430055618286 meV/atom, force_mae: 33.206703186035156 meV/AA, max fae: 835.9198608398438 meV/AA 
validation: epoch: 20, nrg_mae: 3.6635353565216064 meV/atom, force_mae: 32.79671859741211 meV/AA, max fae: 791.5046997070312 meV/AA 
validation: epoch: 21, nrg_mae: 3.8747735023498535 meV/atom, force_mae: 32.51184844970703 meV/AA, max fae: 767.8472290039062 meV/AA 
validation: epoch: 22, nrg_mae: 3.9065723419189453 meV/atom, force_mae: 31.93264389038086 meV/AA, max fae: 747.9627685546875 meV/AA 
