validation: epoch: 0, nrg_mae: 9.600541114807129 meV/atom, force_mae: 52.13724136352539 meV/AA, max fae: 1267.626953125 meV/AA 
validation: epoch: 1, nrg_mae: 6.968826770782471 meV/atom, force_mae: 47.93922424316406 meV/AA, max fae: 1233.2694091796875 meV/AA 
validation: epoch: 2, nrg_mae: 6.25180196762085 meV/atom, force_mae: 46.73139190673828 meV/AA, max fae: 1255.181640625 meV/AA 
validation: epoch: 3, nrg_mae: 6.101280689239502 meV/atom, force_mae: 45.345279693603516 meV/AA, max fae: 1263.7830810546875 meV/AA 
validation: epoch: 4, nrg_mae: 5.4543938636779785 meV/atom, force_mae: 44.33119201660156 meV/AA, max fae: 1239.8848876953125 meV/AA 
validation: epoch: 5, nrg_mae: 5.062650203704834 meV/atom, force_mae: 43.37106704711914 meV/AA, max fae: 1241.69189453125 meV/AA 
validation: epoch: 6, nrg_mae: 5.08184289932251 meV/atom, force_mae: 42.24495315551758 meV/AA, max fae: 1277.38671875 meV/AA 
validation: epoch: 7, nrg_mae: 5.1124186515808105 meV/atom, force_mae: 41.086875915527344 meV/AA, max fae: 1191.3878173828125 meV/AA 
validation: epoch: 8, nrg_mae: 4.569689750671387 meV/atom, force_mae: 40.08989334106445 meV/AA, max fae: 1137.1163330078125 meV/AA 
validation: epoch: 9, nrg_mae: 4.231313705444336 meV/atom, force_mae: 39.16901779174805 meV/AA, max fae: 1105.6937255859375 meV/AA 
validation: epoch: 10, nrg_mae: 4.283841133117676 meV/atom, force_mae: 38.568058013916016 meV/AA, max fae: 1117.0052490234375 meV/AA 
validation: epoch: 11, nrg_mae: 3.985348701477051 meV/atom, force_mae: 37.71403503417969 meV/AA, max fae: 1086.8974609375 meV/AA 
validation: epoch: 12, nrg_mae: 4.081889629364014 meV/atom, force_mae: 37.007320404052734 meV/AA, max fae: 1128.704345703125 meV/AA 
validation: epoch: 13, nrg_mae: 3.8973186016082764 meV/atom, force_mae: 36.460113525390625 meV/AA, max fae: 1151.122314453125 meV/AA 
validation: epoch: 14, nrg_mae: 3.94877552986145 meV/atom, force_mae: 35.899322509765625 meV/AA, max fae: 1153.89111328125 meV/AA 
validation: epoch: 15, nrg_mae: 3.4426043033599854 meV/atom, force_mae: 35.3942756652832 meV/AA, max fae: 1138.4737548828125 meV/AA 
validation: epoch: 16, nrg_mae: 3.425722360610962 meV/atom, force_mae: 34.872825622558594 meV/AA, max fae: 1093.3883056640625 meV/AA 
validation: epoch: 17, nrg_mae: 3.5217537879943848 meV/atom, force_mae: 34.301971435546875 meV/AA, max fae: 1041.6732177734375 meV/AA 
validation: epoch: 18, nrg_mae: 4.021352767944336 meV/atom, force_mae: 33.872520446777344 meV/AA, max fae: 970.8634643554688 meV/AA 
validation: epoch: 19, nrg_mae: 3.788037061691284 meV/atom, force_mae: 33.666114807128906 meV/AA, max fae: 925.72998046875 meV/AA 
