validation: epoch: 0, nrg_mae: 9.810776710510254 meV/atom, force_mae: 52.14613723754883 meV/AA, max fae: 1283.1181640625 meV/AA 
validation: epoch: 1, nrg_mae: 7.196612358093262 meV/atom, force_mae: 47.93547058105469 meV/AA, max fae: 1274.28369140625 meV/AA 
validation: epoch: 2, nrg_mae: 6.229919910430908 meV/atom, force_mae: 46.89861297607422 meV/AA, max fae: 1254.3494873046875 meV/AA 
validation: epoch: 3, nrg_mae: 6.056564807891846 meV/atom, force_mae: 45.25908279418945 meV/AA, max fae: 1271.90283203125 meV/AA 
validation: epoch: 4, nrg_mae: 5.606759071350098 meV/atom, force_mae: 44.392635345458984 meV/AA, max fae: 1267.835205078125 meV/AA 
validation: epoch: 5, nrg_mae: 4.6055216789245605 meV/atom, force_mae: 43.38034439086914 meV/AA, max fae: 1285.73681640625 meV/AA 
validation: epoch: 6, nrg_mae: 4.649798393249512 meV/atom, force_mae: 42.11902618408203 meV/AA, max fae: 1273.1522216796875 meV/AA 
validation: epoch: 7, nrg_mae: 4.7691144943237305 meV/atom, force_mae: 41.10778045654297 meV/AA, max fae: 1196.5528564453125 meV/AA 
validation: epoch: 8, nrg_mae: 4.346065044403076 meV/atom, force_mae: 40.14396667480469 meV/AA, max fae: 1182.330078125 meV/AA 
validation: epoch: 9, nrg_mae: 4.168489456176758 meV/atom, force_mae: 39.06444549560547 meV/AA, max fae: 1131.77587890625 meV/AA 
validation: epoch: 10, nrg_mae: 4.128116607666016 meV/atom, force_mae: 38.33359146118164 meV/AA, max fae: 1109.582275390625 meV/AA 
validation: epoch: 11, nrg_mae: 3.8885412216186523 meV/atom, force_mae: 37.67622756958008 meV/AA, max fae: 1074.8829345703125 meV/AA 
validation: epoch: 12, nrg_mae: 3.6339097023010254 meV/atom, force_mae: 37.12761306762695 meV/AA, max fae: 1040.2525634765625 meV/AA 
validation: epoch: 13, nrg_mae: 3.71913480758667 meV/atom, force_mae: 36.469032287597656 meV/AA, max fae: 979.7603149414062 meV/AA 
validation: epoch: 14, nrg_mae: 3.5199620723724365 meV/atom, force_mae: 35.840633392333984 meV/AA, max fae: 982.9083862304688 meV/AA 
validation: epoch: 15, nrg_mae: 3.4434070587158203 meV/atom, force_mae: 35.150306701660156 meV/AA, max fae: 932.113037109375 meV/AA 
validation: epoch: 16, nrg_mae: 3.4281234741210938 meV/atom, force_mae: 34.602874755859375 meV/AA, max fae: 895.37451171875 meV/AA 
validation: epoch: 17, nrg_mae: 3.482651472091675 meV/atom, force_mae: 34.07872772216797 meV/AA, max fae: 847.9901733398438 meV/AA 
validation: epoch: 18, nrg_mae: 3.38969349861145 meV/atom, force_mae: 33.6235466003418 meV/AA, max fae: 815.1538696289062 meV/AA 
validation: epoch: 19, nrg_mae: 3.3282790184020996 meV/atom, force_mae: 33.172611236572266 meV/AA, max fae: 820.2256469726562 meV/AA 
validation: epoch: 20, nrg_mae: 3.528183937072754 meV/atom, force_mae: 32.82644271850586 meV/AA, max fae: 805.4100341796875 meV/AA 
validation: epoch: 21, nrg_mae: 3.7006797790527344 meV/atom, force_mae: 32.508331298828125 meV/AA, max fae: 794.7923583984375 meV/AA 
validation: epoch: 22, nrg_mae: 3.5142621994018555 meV/atom, force_mae: 31.911209106445312 meV/AA, max fae: 781.793212890625 meV/AA 
