validation: epoch: 0, nrg_mae: 9.498052597045898 meV/atom, force_mae: 51.069419860839844 meV/AA, max fae: 1315.6705322265625 meV/AA 
validation: epoch: 1, nrg_mae: 7.011634349822998 meV/atom, force_mae: 47.780574798583984 meV/AA, max fae: 1235.8831787109375 meV/AA 
validation: epoch: 2, nrg_mae: 6.499126434326172 meV/atom, force_mae: 46.68632507324219 meV/AA, max fae: 1275.3880615234375 meV/AA 
validation: epoch: 3, nrg_mae: 6.6887359619140625 meV/atom, force_mae: 44.53221130371094 meV/AA, max fae: 1269.6663818359375 meV/AA 
validation: epoch: 4, nrg_mae: 5.51117467880249 meV/atom, force_mae: 43.51509094238281 meV/AA, max fae: 1292.9752197265625 meV/AA 
validation: epoch: 5, nrg_mae: 4.353432655334473 meV/atom, force_mae: 42.530460357666016 meV/AA, max fae: 1331.27294921875 meV/AA 
validation: epoch: 6, nrg_mae: 4.570942401885986 meV/atom, force_mae: 41.657527923583984 meV/AA, max fae: 1291.2359619140625 meV/AA 
validation: epoch: 7, nrg_mae: 4.622624397277832 meV/atom, force_mae: 40.931304931640625 meV/AA, max fae: 1221.0318603515625 meV/AA 
validation: epoch: 8, nrg_mae: 4.616764545440674 meV/atom, force_mae: 39.80119323730469 meV/AA, max fae: 1152.180908203125 meV/AA 
validation: epoch: 9, nrg_mae: 4.585873603820801 meV/atom, force_mae: 39.10040283203125 meV/AA, max fae: 1112.7537841796875 meV/AA 
validation: epoch: 10, nrg_mae: 3.9198031425476074 meV/atom, force_mae: 38.43843078613281 meV/AA, max fae: 1141.7900390625 meV/AA 
validation: epoch: 11, nrg_mae: 3.876981019973755 meV/atom, force_mae: 37.62200164794922 meV/AA, max fae: 1136.00439453125 meV/AA 
validation: epoch: 12, nrg_mae: 3.7466609477996826 meV/atom, force_mae: 36.97856140136719 meV/AA, max fae: 1088.291015625 meV/AA 
validation: epoch: 13, nrg_mae: 3.9751968383789062 meV/atom, force_mae: 36.18925857543945 meV/AA, max fae: 1047.510009765625 meV/AA 
validation: epoch: 14, nrg_mae: 3.6891989707946777 meV/atom, force_mae: 35.678131103515625 meV/AA, max fae: 978.8043212890625 meV/AA 
validation: epoch: 15, nrg_mae: 3.7581703662872314 meV/atom, force_mae: 35.197113037109375 meV/AA, max fae: 955.313720703125 meV/AA 
validation: epoch: 16, nrg_mae: 3.8339197635650635 meV/atom, force_mae: 34.627540588378906 meV/AA, max fae: 905.1477661132812 meV/AA 
validation: epoch: 17, nrg_mae: 3.8226139545440674 meV/atom, force_mae: 34.127017974853516 meV/AA, max fae: 881.313232421875 meV/AA 
validation: epoch: 18, nrg_mae: 3.7406883239746094 meV/atom, force_mae: 33.892704010009766 meV/AA, max fae: 793.0858154296875 meV/AA 
validation: epoch: 19, nrg_mae: 3.971306562423706 meV/atom, force_mae: 33.441829681396484 meV/AA, max fae: 740.8678588867188 meV/AA 
validation: epoch: 20, nrg_mae: 3.840946674346924 meV/atom, force_mae: 33.03597640991211 meV/AA, max fae: 727.0079345703125 meV/AA 
validation: epoch: 21, nrg_mae: 3.8692433834075928 meV/atom, force_mae: 32.580360412597656 meV/AA, max fae: 734.094482421875 meV/AA 
validation: epoch: 22, nrg_mae: 3.472165107727051 meV/atom, force_mae: 32.36355972290039 meV/AA, max fae: 735.0755004882812 meV/AA 
validation: epoch: 23, nrg_mae: 3.665199041366577 meV/atom, force_mae: 31.99202537536621 meV/AA, max fae: 725.209716796875 meV/AA 
validation: epoch: 24, nrg_mae: 3.2279322147369385 meV/atom, force_mae: 31.787931442260742 meV/AA, max fae: 717.773193359375 meV/AA 
validation: epoch: 25, nrg_mae: 3.102614641189575 meV/atom, force_mae: 31.311410903930664 meV/AA, max fae: 714.947998046875 meV/AA 
validation: epoch: 26, nrg_mae: 3.13511061668396 meV/atom, force_mae: 30.92151641845703 meV/AA, max fae: 713.3129272460938 meV/AA 
validation: epoch: 27, nrg_mae: 3.3787343502044678 meV/atom, force_mae: 30.516698837280273 meV/AA, max fae: 713.0139770507812 meV/AA 
validation: epoch: 28, nrg_mae: 3.2145285606384277 meV/atom, force_mae: 30.164791107177734 meV/AA, max fae: 712.0343627929688 meV/AA 
validation: epoch: 29, nrg_mae: 3.19036602973938 meV/atom, force_mae: 29.779451370239258 meV/AA, max fae: 708.6866455078125 meV/AA 
validation: epoch: 30, nrg_mae: 2.9641003608703613 meV/atom, force_mae: 29.470823287963867 meV/AA, max fae: 661.8033447265625 meV/AA 
validation: epoch: 31, nrg_mae: 2.9357171058654785 meV/atom, force_mae: 29.12338638305664 meV/AA, max fae: 667.1151123046875 meV/AA 
validation: epoch: 32, nrg_mae: 2.6427457332611084 meV/atom, force_mae: 28.876468658447266 meV/AA, max fae: 659.5527954101562 meV/AA 
validation: epoch: 33, nrg_mae: 2.8699803352355957 meV/atom, force_mae: 28.436182022094727 meV/AA, max fae: 654.1965942382812 meV/AA 
validation: epoch: 34, nrg_mae: 2.8764257431030273 meV/atom, force_mae: 28.138193130493164 meV/AA, max fae: 645.9879760742188 meV/AA 
validation: epoch: 35, nrg_mae: 3.248748302459717 meV/atom, force_mae: 27.817012786865234 meV/AA, max fae: 634.9178466796875 meV/AA 
validation: epoch: 36, nrg_mae: 3.0719144344329834 meV/atom, force_mae: 27.54220199584961 meV/AA, max fae: 653.47412109375 meV/AA 
validation: epoch: 37, nrg_mae: 2.904618740081787 meV/atom, force_mae: 27.257780075073242 meV/AA, max fae: 614.0464477539062 meV/AA 
validation: epoch: 38, nrg_mae: 3.1394011974334717 meV/atom, force_mae: 26.938634872436523 meV/AA, max fae: 584.171630859375 meV/AA 
validation: epoch: 39, nrg_mae: 3.1867194175720215 meV/atom, force_mae: 26.637990951538086 meV/AA, max fae: 566.376708984375 meV/AA 
validation: epoch: 40, nrg_mae: 3.012589454650879 meV/atom, force_mae: 26.41403579711914 meV/AA, max fae: 556.9736328125 meV/AA 
validation: epoch: 41, nrg_mae: 3.1830761432647705 meV/atom, force_mae: 26.178752899169922 meV/AA, max fae: 554.7899780273438 meV/AA 
validation: epoch: 42, nrg_mae: 3.256377935409546 meV/atom, force_mae: 25.936311721801758 meV/AA, max fae: 538.903564453125 meV/AA 
validation: epoch: 43, nrg_mae: 2.934619665145874 meV/atom, force_mae: 25.652660369873047 meV/AA, max fae: 534.5716552734375 meV/AA 
validation: epoch: 44, nrg_mae: 2.7904837131500244 meV/atom, force_mae: 25.384063720703125 meV/AA, max fae: 527.9757690429688 meV/AA 
validation: epoch: 45, nrg_mae: 2.8168437480926514 meV/atom, force_mae: 25.095916748046875 meV/AA, max fae: 517.065673828125 meV/AA 
