validation: epoch: 0, nrg_mae: 9.2315034866333 meV/atom, force_mae: 49.72607421875 meV/AA, max fae: 1270.548828125 meV/AA 
validation: epoch: 1, nrg_mae: 8.959646224975586 meV/atom, force_mae: 48.65262222290039 meV/AA, max fae: 1245.98095703125 meV/AA 
validation: epoch: 2, nrg_mae: 6.92626953125 meV/atom, force_mae: 47.25300216674805 meV/AA, max fae: 1230.44677734375 meV/AA 
validation: epoch: 3, nrg_mae: 5.944911003112793 meV/atom, force_mae: 45.76702880859375 meV/AA, max fae: 1233.06005859375 meV/AA 
validation: epoch: 4, nrg_mae: 5.7455902099609375 meV/atom, force_mae: 44.03438186645508 meV/AA, max fae: 1174.08447265625 meV/AA 
validation: epoch: 5, nrg_mae: 5.1300368309021 meV/atom, force_mae: 42.31258010864258 meV/AA, max fae: 1164.8046875 meV/AA 
validation: epoch: 6, nrg_mae: 4.827195167541504 meV/atom, force_mae: 40.80123519897461 meV/AA, max fae: 1226.2457275390625 meV/AA 
validation: epoch: 7, nrg_mae: 4.519316673278809 meV/atom, force_mae: 40.255489349365234 meV/AA, max fae: 1108.927734375 meV/AA 
validation: epoch: 8, nrg_mae: 4.987458229064941 meV/atom, force_mae: 39.19902038574219 meV/AA, max fae: 1089.636962890625 meV/AA 
validation: epoch: 9, nrg_mae: 4.408677577972412 meV/atom, force_mae: 38.41692352294922 meV/AA, max fae: 1051.457763671875 meV/AA 
validation: epoch: 10, nrg_mae: 4.516095161437988 meV/atom, force_mae: 37.83042907714844 meV/AA, max fae: 1036.120361328125 meV/AA 
validation: epoch: 11, nrg_mae: 4.246506214141846 meV/atom, force_mae: 37.180274963378906 meV/AA, max fae: 1008.525634765625 meV/AA 
validation: epoch: 12, nrg_mae: 4.014721870422363 meV/atom, force_mae: 36.660499572753906 meV/AA, max fae: 913.8976440429688 meV/AA 
validation: epoch: 13, nrg_mae: 4.094947338104248 meV/atom, force_mae: 36.188812255859375 meV/AA, max fae: 825.5848388671875 meV/AA 
validation: epoch: 14, nrg_mae: 4.184780597686768 meV/atom, force_mae: 35.56640625 meV/AA, max fae: 840.3910522460938 meV/AA 
validation: epoch: 15, nrg_mae: 3.905409574508667 meV/atom, force_mae: 35.26536560058594 meV/AA, max fae: 770.486328125 meV/AA 
validation: epoch: 16, nrg_mae: 3.7486140727996826 meV/atom, force_mae: 34.824642181396484 meV/AA, max fae: 779.594482421875 meV/AA 
validation: epoch: 17, nrg_mae: 3.565483331680298 meV/atom, force_mae: 34.43112564086914 meV/AA, max fae: 801.6959228515625 meV/AA 
validation: epoch: 18, nrg_mae: 3.788565158843994 meV/atom, force_mae: 33.99354553222656 meV/AA, max fae: 804.353271484375 meV/AA 
validation: epoch: 19, nrg_mae: 3.935096263885498 meV/atom, force_mae: 33.473384857177734 meV/AA, max fae: 803.587646484375 meV/AA 
validation: epoch: 20, nrg_mae: 3.7158000469207764 meV/atom, force_mae: 33.04855728149414 meV/AA, max fae: 776.8707275390625 meV/AA 
validation: epoch: 21, nrg_mae: 3.810924768447876 meV/atom, force_mae: 32.82509994506836 meV/AA, max fae: 764.002685546875 meV/AA 
validation: epoch: 22, nrg_mae: 3.392789125442505 meV/atom, force_mae: 32.35966110229492 meV/AA, max fae: 738.7877807617188 meV/AA 
validation: epoch: 23, nrg_mae: 3.3171682357788086 meV/atom, force_mae: 32.16325378417969 meV/AA, max fae: 727.9464111328125 meV/AA 
validation: epoch: 24, nrg_mae: 3.1159026622772217 meV/atom, force_mae: 31.9072265625 meV/AA, max fae: 715.2382202148438 meV/AA 
validation: epoch: 25, nrg_mae: 3.038576126098633 meV/atom, force_mae: 31.477928161621094 meV/AA, max fae: 714.2078857421875 meV/AA 
validation: epoch: 26, nrg_mae: 3.0153753757476807 meV/atom, force_mae: 31.175256729125977 meV/AA, max fae: 688.5510864257812 meV/AA 
validation: epoch: 27, nrg_mae: 3.0220444202423096 meV/atom, force_mae: 30.802568435668945 meV/AA, max fae: 671.651611328125 meV/AA 
validation: epoch: 28, nrg_mae: 2.946880578994751 meV/atom, force_mae: 30.555143356323242 meV/AA, max fae: 665.4000244140625 meV/AA 
validation: epoch: 29, nrg_mae: 3.0370779037475586 meV/atom, force_mae: 30.120807647705078 meV/AA, max fae: 667.0621337890625 meV/AA 
validation: epoch: 30, nrg_mae: 2.9851977825164795 meV/atom, force_mae: 29.807722091674805 meV/AA, max fae: 667.9241943359375 meV/AA 
validation: epoch: 31, nrg_mae: 2.836672067642212 meV/atom, force_mae: 29.53660011291504 meV/AA, max fae: 669.788330078125 meV/AA 
validation: epoch: 32, nrg_mae: 2.8755345344543457 meV/atom, force_mae: 29.13925552368164 meV/AA, max fae: 651.09814453125 meV/AA 
validation: epoch: 33, nrg_mae: 3.140263795852661 meV/atom, force_mae: 28.853103637695312 meV/AA, max fae: 604.962646484375 meV/AA 
validation: epoch: 34, nrg_mae: 3.1574652194976807 meV/atom, force_mae: 28.529529571533203 meV/AA, max fae: 599.744384765625 meV/AA 
validation: epoch: 35, nrg_mae: 3.1943745613098145 meV/atom, force_mae: 28.224876403808594 meV/AA, max fae: 604.1514892578125 meV/AA 
validation: epoch: 36, nrg_mae: 3.2542901039123535 meV/atom, force_mae: 27.983917236328125 meV/AA, max fae: 607.4425048828125 meV/AA 
validation: epoch: 37, nrg_mae: 2.869230270385742 meV/atom, force_mae: 27.775480270385742 meV/AA, max fae: 607.8263549804688 meV/AA 
validation: epoch: 38, nrg_mae: 2.859196901321411 meV/atom, force_mae: 27.61864471435547 meV/AA, max fae: 596.0274047851562 meV/AA 
validation: epoch: 39, nrg_mae: 2.920987606048584 meV/atom, force_mae: 27.19902801513672 meV/AA, max fae: 601.291748046875 meV/AA 
validation: epoch: 40, nrg_mae: 2.9103872776031494 meV/atom, force_mae: 27.049501419067383 meV/AA, max fae: 604.1060791015625 meV/AA 
