validation: epoch: 44, nrg_mae: 2.592891216278076 meV/atom, force_mae: 25.360815048217773 meV/AA, max fae: 494.4891357421875 meV/AA 
validation: epoch: 45, nrg_mae: 2.4570281505584717 meV/atom, force_mae: 25.096939086914062 meV/AA, max fae: 501.72900390625 meV/AA 
validation: epoch: 46, nrg_mae: 2.4648900032043457 meV/atom, force_mae: 24.91893768310547 meV/AA, max fae: 477.95550537109375 meV/AA 
validation: epoch: 47, nrg_mae: 2.425070285797119 meV/atom, force_mae: 24.68714714050293 meV/AA, max fae: 466.2965393066406 meV/AA 
validation: epoch: 48, nrg_mae: 2.4953417778015137 meV/atom, force_mae: 24.455135345458984 meV/AA, max fae: 457.6256408691406 meV/AA 
validation: epoch: 49, nrg_mae: 2.676396131515503 meV/atom, force_mae: 24.30008316040039 meV/AA, max fae: 453.9861755371094 meV/AA 
validation: epoch: 50, nrg_mae: 2.6262500286102295 meV/atom, force_mae: 24.109020233154297 meV/AA, max fae: 459.3240661621094 meV/AA 
validation: epoch: 51, nrg_mae: 2.6798043251037598 meV/atom, force_mae: 23.890348434448242 meV/AA, max fae: 437.8345031738281 meV/AA 
validation: epoch: 52, nrg_mae: 2.583061456680298 meV/atom, force_mae: 23.709674835205078 meV/AA, max fae: 439.844970703125 meV/AA 
validation: epoch: 53, nrg_mae: 2.543682098388672 meV/atom, force_mae: 23.496801376342773 meV/AA, max fae: 437.5247802734375 meV/AA 
validation: epoch: 54, nrg_mae: 2.507298231124878 meV/atom, force_mae: 23.347450256347656 meV/AA, max fae: 427.7461242675781 meV/AA 
validation: epoch: 55, nrg_mae: 2.5346884727478027 meV/atom, force_mae: 23.1208438873291 meV/AA, max fae: 415.4886779785156 meV/AA 
validation: epoch: 56, nrg_mae: 2.4860830307006836 meV/atom, force_mae: 23.026756286621094 meV/AA, max fae: 418.0026550292969 meV/AA 
validation: epoch: 57, nrg_mae: 2.4928784370422363 meV/atom, force_mae: 22.91967010498047 meV/AA, max fae: 422.45184326171875 meV/AA 
validation: epoch: 58, nrg_mae: 2.3898532390594482 meV/atom, force_mae: 22.744598388671875 meV/AA, max fae: 419.9039611816406 meV/AA 
validation: epoch: 59, nrg_mae: 2.374469518661499 meV/atom, force_mae: 22.585847854614258 meV/AA, max fae: 398.2842102050781 meV/AA 
validation: epoch: 60, nrg_mae: 2.3758411407470703 meV/atom, force_mae: 22.421113967895508 meV/AA, max fae: 395.3697814941406 meV/AA 
validation: epoch: 61, nrg_mae: 2.287950038909912 meV/atom, force_mae: 22.289297103881836 meV/AA, max fae: 381.957763671875 meV/AA 
validation: epoch: 62, nrg_mae: 2.2646307945251465 meV/atom, force_mae: 22.17157745361328 meV/AA, max fae: 380.75726318359375 meV/AA 
validation: epoch: 63, nrg_mae: 2.3177919387817383 meV/atom, force_mae: 22.04742431640625 meV/AA, max fae: 382.7832336425781 meV/AA 
validation: epoch: 64, nrg_mae: 2.213177442550659 meV/atom, force_mae: 21.92228889465332 meV/AA, max fae: 387.2211608886719 meV/AA 
validation: epoch: 65, nrg_mae: 2.2501564025878906 meV/atom, force_mae: 21.76742172241211 meV/AA, max fae: 375.5333557128906 meV/AA 
validation: epoch: 66, nrg_mae: 2.345022201538086 meV/atom, force_mae: 21.65743064880371 meV/AA, max fae: 370.07415771484375 meV/AA 
validation: epoch: 67, nrg_mae: 2.3110530376434326 meV/atom, force_mae: 21.57050323486328 meV/AA, max fae: 356.5848693847656 meV/AA 
validation: epoch: 68, nrg_mae: 2.2994160652160645 meV/atom, force_mae: 21.437891006469727 meV/AA, max fae: 350.849853515625 meV/AA 
validation: epoch: 69, nrg_mae: 2.3398032188415527 meV/atom, force_mae: 21.30449676513672 meV/AA, max fae: 350.1514892578125 meV/AA 
validation: epoch: 70, nrg_mae: 2.426018238067627 meV/atom, force_mae: 21.189115524291992 meV/AA, max fae: 345.2568664550781 meV/AA 
validation: epoch: 71, nrg_mae: 2.412391424179077 meV/atom, force_mae: 21.08845329284668 meV/AA, max fae: 340.7242431640625 meV/AA 
validation: epoch: 72, nrg_mae: 2.431118965148926 meV/atom, force_mae: 20.987232208251953 meV/AA, max fae: 340.3967590332031 meV/AA 
validation: epoch: 73, nrg_mae: 2.2895681858062744 meV/atom, force_mae: 20.894012451171875 meV/AA, max fae: 342.6888732910156 meV/AA 
validation: epoch: 74, nrg_mae: 2.3236703872680664 meV/atom, force_mae: 20.788097381591797 meV/AA, max fae: 335.3099365234375 meV/AA 
validation: epoch: 75, nrg_mae: 2.22214674949646 meV/atom, force_mae: 20.682777404785156 meV/AA, max fae: 335.6365051269531 meV/AA 
validation: epoch: 76, nrg_mae: 2.150688886642456 meV/atom, force_mae: 20.56608009338379 meV/AA, max fae: 331.4981384277344 meV/AA 
validation: epoch: 77, nrg_mae: 2.0678467750549316 meV/atom, force_mae: 20.461158752441406 meV/AA, max fae: 321.89703369140625 meV/AA 
validation: epoch: 78, nrg_mae: 2.037222146987915 meV/atom, force_mae: 20.342426300048828 meV/AA, max fae: 322.5970458984375 meV/AA 
validation: epoch: 79, nrg_mae: 2.044355630874634 meV/atom, force_mae: 20.258785247802734 meV/AA, max fae: 314.8270568847656 meV/AA 
validation: epoch: 80, nrg_mae: 2.026512384414673 meV/atom, force_mae: 20.17865753173828 meV/AA, max fae: 312.3056945800781 meV/AA 
validation: epoch: 81, nrg_mae: 1.9716603755950928 meV/atom, force_mae: 20.097105026245117 meV/AA, max fae: 301.8870849609375 meV/AA 
validation: epoch: 82, nrg_mae: 1.981100082397461 meV/atom, force_mae: 19.99677276611328 meV/AA, max fae: 297.55108642578125 meV/AA 
validation: epoch: 83, nrg_mae: 1.9891217947006226 meV/atom, force_mae: 19.88797378540039 meV/AA, max fae: 296.5688171386719 meV/AA 
validation: epoch: 84, nrg_mae: 2.0063040256500244 meV/atom, force_mae: 19.864620208740234 meV/AA, max fae: 296.83697509765625 meV/AA 
validation: epoch: 85, nrg_mae: 2.050938129425049 meV/atom, force_mae: 19.804119110107422 meV/AA, max fae: 295.375 meV/AA 
validation: epoch: 86, nrg_mae: 2.0138659477233887 meV/atom, force_mae: 19.68920135498047 meV/AA, max fae: 283.0740661621094 meV/AA 
validation: epoch: 87, nrg_mae: 2.0796215534210205 meV/atom, force_mae: 19.619876861572266 meV/AA, max fae: 275.97918701171875 meV/AA 
validation: epoch: 88, nrg_mae: 2.0804665088653564 meV/atom, force_mae: 19.548627853393555 meV/AA, max fae: 282.5608215332031 meV/AA 
validation: epoch: 89, nrg_mae: 2.1111063957214355 meV/atom, force_mae: 19.46353530883789 meV/AA, max fae: 283.724365234375 meV/AA 
validation: epoch: 90, nrg_mae: 2.0858042240142822 meV/atom, force_mae: 19.379852294921875 meV/AA, max fae: 284.0220947265625 meV/AA 
validation: epoch: 91, nrg_mae: 2.1037967205047607 meV/atom, force_mae: 19.286169052124023 meV/AA, max fae: 287.2834777832031 meV/AA 
validation: epoch: 92, nrg_mae: 2.120678424835205 meV/atom, force_mae: 19.228418350219727 meV/AA, max fae: 280.2522888183594 meV/AA 
validation: epoch: 93, nrg_mae: 2.0715391635894775 meV/atom, force_mae: 19.155210494995117 meV/AA, max fae: 282.1136779785156 meV/AA 
validation: epoch: 94, nrg_mae: 2.116987466812134 meV/atom, force_mae: 19.094919204711914 meV/AA, max fae: 286.0473937988281 meV/AA 
validation: epoch: 95, nrg_mae: 2.1646974086761475 meV/atom, force_mae: 19.02813720703125 meV/AA, max fae: 279.99151611328125 meV/AA 
validation: epoch: 96, nrg_mae: 2.2003345489501953 meV/atom, force_mae: 18.937942504882812 meV/AA, max fae: 287.54449462890625 meV/AA 
validation: epoch: 97, nrg_mae: 2.239567756652832 meV/atom, force_mae: 18.87803840637207 meV/AA, max fae: 291.3960266113281 meV/AA 
validation: epoch: 98, nrg_mae: 2.168720006942749 meV/atom, force_mae: 18.77032470703125 meV/AA, max fae: 288.1455383300781 meV/AA 
validation: epoch: 99, nrg_mae: 2.0899510383605957 meV/atom, force_mae: 18.727066040039062 meV/AA, max fae: 287.6567687988281 meV/AA 
validation: epoch: 100, nrg_mae: 1.9992890357971191 meV/atom, force_mae: 18.655746459960938 meV/AA, max fae: 287.0987548828125 meV/AA 
validation: epoch: 101, nrg_mae: 1.9937413930892944 meV/atom, force_mae: 18.575815200805664 meV/AA, max fae: 280.45947265625 meV/AA 
validation: epoch: 102, nrg_mae: 1.9552319049835205 meV/atom, force_mae: 18.525989532470703 meV/AA, max fae: 277.3950500488281 meV/AA 
validation: epoch: 103, nrg_mae: 1.9459047317504883 meV/atom, force_mae: 18.45587158203125 meV/AA, max fae: 276.39312744140625 meV/AA 
validation: epoch: 104, nrg_mae: 1.9670515060424805 meV/atom, force_mae: 18.404069900512695 meV/AA, max fae: 275.98736572265625 meV/AA 
validation: epoch: 105, nrg_mae: 1.9350008964538574 meV/atom, force_mae: 18.33524513244629 meV/AA, max fae: 276.2212829589844 meV/AA 
validation: epoch: 106, nrg_mae: 1.9763209819793701 meV/atom, force_mae: 18.278589248657227 meV/AA, max fae: 275.3570861816406 meV/AA 
validation: epoch: 107, nrg_mae: 1.9033300876617432 meV/atom, force_mae: 18.207874298095703 meV/AA, max fae: 277.8845520019531 meV/AA 
validation: epoch: 108, nrg_mae: 1.9452049732208252 meV/atom, force_mae: 18.141817092895508 meV/AA, max fae: 270.59234619140625 meV/AA 
validation: epoch: 109, nrg_mae: 1.9213858842849731 meV/atom, force_mae: 18.081069946289062 meV/AA, max fae: 267.75408935546875 meV/AA 
validation: epoch: 110, nrg_mae: 1.9309022426605225 meV/atom, force_mae: 18.019041061401367 meV/AA, max fae: 266.2201843261719 meV/AA 
validation: epoch: 111, nrg_mae: 1.9016021490097046 meV/atom, force_mae: 17.95030975341797 meV/AA, max fae: 270.58642578125 meV/AA 
validation: epoch: 112, nrg_mae: 1.9406275749206543 meV/atom, force_mae: 17.888349533081055 meV/AA, max fae: 267.4978942871094 meV/AA 
validation: epoch: 113, nrg_mae: 1.8874045610427856 meV/atom, force_mae: 17.8491268157959 meV/AA, max fae: 256.3985900878906 meV/AA 
validation: epoch: 114, nrg_mae: 1.874052882194519 meV/atom, force_mae: 17.809123992919922 meV/AA, max fae: 253.58676147460938 meV/AA 
validation: epoch: 115, nrg_mae: 1.873201608657837 meV/atom, force_mae: 17.7648983001709 meV/AA, max fae: 254.88311767578125 meV/AA 
validation: epoch: 116, nrg_mae: 1.8613877296447754 meV/atom, force_mae: 17.711942672729492 meV/AA, max fae: 262.6897277832031 meV/AA 
validation: epoch: 117, nrg_mae: 1.8234362602233887 meV/atom, force_mae: 17.66781997680664 meV/AA, max fae: 260.6694030761719 meV/AA 
validation: epoch: 118, nrg_mae: 1.8465125560760498 meV/atom, force_mae: 17.611591339111328 meV/AA, max fae: 257.739013671875 meV/AA 
validation: epoch: 119, nrg_mae: 1.7638264894485474 meV/atom, force_mae: 17.564563751220703 meV/AA, max fae: 250.4207763671875 meV/AA 
validation: epoch: 120, nrg_mae: 1.791586995124817 meV/atom, force_mae: 17.50835418701172 meV/AA, max fae: 253.92529296875 meV/AA 
validation: epoch: 121, nrg_mae: 1.8537569046020508 meV/atom, force_mae: 17.448936462402344 meV/AA, max fae: 246.9016571044922 meV/AA 
validation: epoch: 122, nrg_mae: 1.9019501209259033 meV/atom, force_mae: 17.380197525024414 meV/AA, max fae: 248.00018310546875 meV/AA 
validation: epoch: 123, nrg_mae: 1.9199131727218628 meV/atom, force_mae: 17.34487533569336 meV/AA, max fae: 252.3019256591797 meV/AA 
validation: epoch: 124, nrg_mae: 1.889581561088562 meV/atom, force_mae: 17.30891990661621 meV/AA, max fae: 250.1583709716797 meV/AA 
validation: epoch: 125, nrg_mae: 1.8896195888519287 meV/atom, force_mae: 17.25399398803711 meV/AA, max fae: 253.72836303710938 meV/AA 
validation: epoch: 126, nrg_mae: 1.8927206993103027 meV/atom, force_mae: 17.2119197845459 meV/AA, max fae: 253.79148864746094 meV/AA 
validation: epoch: 127, nrg_mae: 1.8897653818130493 meV/atom, force_mae: 17.147125244140625 meV/AA, max fae: 255.6619110107422 meV/AA 
validation: epoch: 128, nrg_mae: 1.825394630432129 meV/atom, force_mae: 17.10694122314453 meV/AA, max fae: 257.9651184082031 meV/AA 
validation: epoch: 129, nrg_mae: 1.7962478399276733 meV/atom, force_mae: 17.059995651245117 meV/AA, max fae: 262.318603515625 meV/AA 
validation: epoch: 130, nrg_mae: 1.8260401487350464 meV/atom, force_mae: 16.992431640625 meV/AA, max fae: 267.4754943847656 meV/AA 
validation: epoch: 131, nrg_mae: 1.778342366218567 meV/atom, force_mae: 16.947877883911133 meV/AA, max fae: 267.1370544433594 meV/AA 
validation: epoch: 132, nrg_mae: 1.7453930377960205 meV/atom, force_mae: 16.90397834777832 meV/AA, max fae: 270.073486328125 meV/AA 
validation: epoch: 133, nrg_mae: 1.7204607725143433 meV/atom, force_mae: 16.861764907836914 meV/AA, max fae: 262.2396240234375 meV/AA 
validation: epoch: 134, nrg_mae: 1.7396117448806763 meV/atom, force_mae: 16.82105255126953 meV/AA, max fae: 260.6763916015625 meV/AA 
validation: epoch: 135, nrg_mae: 1.725609540939331 meV/atom, force_mae: 16.76601219177246 meV/AA, max fae: 258.63690185546875 meV/AA 
validation: epoch: 136, nrg_mae: 1.6925350427627563 meV/atom, force_mae: 16.722597122192383 meV/AA, max fae: 256.9200439453125 meV/AA 
validation: epoch: 137, nrg_mae: 1.710027813911438 meV/atom, force_mae: 16.667341232299805 meV/AA, max fae: 258.2645263671875 meV/AA 
validation: epoch: 138, nrg_mae: 1.7551952600479126 meV/atom, force_mae: 16.618688583374023 meV/AA, max fae: 256.6158142089844 meV/AA 
validation: epoch: 139, nrg_mae: 1.7050998210906982 meV/atom, force_mae: 16.585872650146484 meV/AA, max fae: 251.60330200195312 meV/AA 
