validation: epoch: 0, nrg_mae: 8.833738327026367 meV/atom, force_mae: 50.092498779296875 meV/AA, max fae: 1268.1160888671875 meV/AA 
validation: epoch: 1, nrg_mae: 6.86744499206543 meV/atom, force_mae: 48.47447967529297 meV/AA, max fae: 1273.931884765625 meV/AA 
validation: epoch: 2, nrg_mae: 6.953438758850098 meV/atom, force_mae: 47.082157135009766 meV/AA, max fae: 1286.1290283203125 meV/AA 
validation: epoch: 3, nrg_mae: 6.077572822570801 meV/atom, force_mae: 45.5189094543457 meV/AA, max fae: 1313.60693359375 meV/AA 
validation: epoch: 4, nrg_mae: 5.809769630432129 meV/atom, force_mae: 43.91533279418945 meV/AA, max fae: 1291.6807861328125 meV/AA 
validation: epoch: 5, nrg_mae: 4.636314392089844 meV/atom, force_mae: 42.76263427734375 meV/AA, max fae: 1303.7542724609375 meV/AA 
validation: epoch: 6, nrg_mae: 4.641768455505371 meV/atom, force_mae: 41.621971130371094 meV/AA, max fae: 1275.1474609375 meV/AA 
validation: epoch: 7, nrg_mae: 4.666131019592285 meV/atom, force_mae: 40.357486724853516 meV/AA, max fae: 1183.5672607421875 meV/AA 
validation: epoch: 8, nrg_mae: 4.440785884857178 meV/atom, force_mae: 39.58589553833008 meV/AA, max fae: 1154.8648681640625 meV/AA 
validation: epoch: 9, nrg_mae: 4.452124118804932 meV/atom, force_mae: 38.70737075805664 meV/AA, max fae: 1144.109619140625 meV/AA 
validation: epoch: 10, nrg_mae: 3.9408369064331055 meV/atom, force_mae: 38.07142639160156 meV/AA, max fae: 1044.702880859375 meV/AA 
validation: epoch: 11, nrg_mae: 4.092199802398682 meV/atom, force_mae: 37.207130432128906 meV/AA, max fae: 1016.5003662109375 meV/AA 
validation: epoch: 12, nrg_mae: 4.397107124328613 meV/atom, force_mae: 36.57733917236328 meV/AA, max fae: 991.0922241210938 meV/AA 
validation: epoch: 13, nrg_mae: 4.023590087890625 meV/atom, force_mae: 36.00041198730469 meV/AA, max fae: 1012.4464111328125 meV/AA 
validation: epoch: 14, nrg_mae: 4.047267913818359 meV/atom, force_mae: 35.40940856933594 meV/AA, max fae: 994.0469970703125 meV/AA 
validation: epoch: 15, nrg_mae: 3.7579145431518555 meV/atom, force_mae: 35.131858825683594 meV/AA, max fae: 959.5806274414062 meV/AA 
validation: epoch: 16, nrg_mae: 3.7473554611206055 meV/atom, force_mae: 34.803497314453125 meV/AA, max fae: 886.7918090820312 meV/AA 
validation: epoch: 17, nrg_mae: 3.7558584213256836 meV/atom, force_mae: 34.286434173583984 meV/AA, max fae: 889.5453491210938 meV/AA 
validation: epoch: 18, nrg_mae: 3.8110110759735107 meV/atom, force_mae: 33.905189514160156 meV/AA, max fae: 865.3912353515625 meV/AA 
validation: epoch: 19, nrg_mae: 3.9240312576293945 meV/atom, force_mae: 33.40495300292969 meV/AA, max fae: 810.5431518554688 meV/AA 
